"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000231709",2.2390009217457,-0.803424863104352,0.264776688451391,-3.03434893684701,0.0024105544374465,0.0131256560152569,NA,NA
"ENSG00000169972",245.39849522321,-0.282612514922789,0.0826352366476091,-3.42000006762207,0.000626211201498657,0.00398354279006607,"PUSL1","126789"
"ENSG00000127054",1273.44420413601,-0.151891262838496,0.0533949245489101,-2.84467604592947,0.00444566116165778,0.0222323174137407,"CPSF3L","54973"
"ENSG00000240731",49.3483915452096,-0.361454161276717,0.120507115087929,-2.99944248945782,0.00270474180222556,0.0144911823935944,NA,NA
"ENSG00000272004",171.347653292436,-0.568517023152673,0.0903715076753202,-6.29088788908112,3.15655250732353e-10,4.71271928760425e-09,NA,NA
"ENSG00000189339",2075.50553132039,-0.740941348602235,0.048833969036737,-15.1726628659824,5.36550915308387e-52,3.5999578361248e-50,"SLC35E2B","728661"
"ENSG00000269737",22.2365955145639,-0.708749547168851,0.177195688600868,-3.99981259569642,6.33926631918295e-05,0.000492185681436144,NA,NA
"ENSG00000269227",5.8585227790505,-0.650162330168015,0.246412052557046,-2.63851675849945,0.00832695845742201,0.0381084732384253,NA,NA
"ENSG00000227775",236.637326515431,-0.619679968103321,0.073286382779451,-8.45559494958557,2.77667907576875e-17,6.52602011785852e-16,NA,NA
"ENSG00000215790",157.655130565424,-0.533607178796272,0.108514193336868,-4.91739524929942,8.77033594745557e-07,9.13288271717376e-06,"SLC35E2","9906"
"ENSG00000078369",3257.65023975837,-0.0816243855528134,0.031485239408164,-2.59246513881195,0.00952908383427288,0.0427335997811461,"GNB1","2782"
"ENSG00000158292",211.461132020806,-0.539610412987855,0.0798548701682799,-6.75738889626546,1.40500704431889e-11,2.3397082450767e-10,"GPR153","387509"
"ENSG00000069812",135.138300067045,-1.67620830483122,0.0956131186149658,-17.5311539787894,8.28704096062715e-69,8.17202508964335e-67,"HES2","54626"
"ENSG00000187017",917.100782055421,-0.610981480806899,0.0819609810050274,-7.45454084754576,9.0181334315826e-14,1.74384143328091e-12,"ESPN","83715"
"ENSG00000231868",24.85165552608,-0.672042534764931,0.17471150350317,-3.84658434785169,0.000119775908892566,0.000885536402191304,NA,NA
"ENSG00000171735",194.44512314838,-0.310883800500227,0.0762926602613476,-4.07488478492251,4.60371339797135e-05,0.000366788091598005,"CAMTA1","23261"
"ENSG00000049245",816.216182777163,-0.162299861707017,0.0401190543933228,-4.04545581049462,5.22214160363918e-05,0.000411445959160767,"VAMP3","9341"
"ENSG00000116285",812.326011342653,-1.89224046554925,0.0844301459569304,-22.4119056541075,3.01265897860171e-111,6.18376150348544e-109,"ERRFI1","54206"
"ENSG00000162426",5.81345970824941,-0.748759900692497,0.252315210372802,-2.96755752293405,0.00300176108853704,0.0158369353641365,"SLC45A1","50651"
"ENSG00000142599",1367.95188684834,-1.2430785159712,0.0430817319990777,-28.8539587033737,4.51935595037184e-183,2.08718922308006e-180,"RERE","473"
"ENSG00000049239",687.387415248847,-0.246803298804535,0.045331824712793,-5.44437159475042,5.19885901671888e-08,6.24448995896317e-07,"H6PD","9563"
"ENSG00000171621",148.885868373757,-2.54158568590259,0.099195221110238,-25.6220577710902,8.66380334580476e-145,2.63817572211264e-142,"SPSB1","80176"
"ENSG00000171612",234.44031732015,-0.486514085579087,0.0712135212168482,-6.83176561509479,8.38758135028351e-12,1.42239828161785e-10,"SLC25A33","84275"
"ENSG00000188807",208.666956649257,-0.241560002447498,0.0740181103668605,-3.26352565946684,0.00110035219686366,0.00654308141096397,"TMEM201","199953"
"ENSG00000171608",133.338689439667,-1.47299103261777,0.0936440223828766,-15.7296856236615,9.46799912326511e-56,6.99622015215137e-54,"PIK3CD","5293"
"ENSG00000178585",477.543243137118,-0.171069341204157,0.0582647668408446,-2.93606840771281,0.00332401011086567,0.0173005860578677,"CTNNBIP1","56998"
"ENSG00000160049",585.862286363195,-0.189756418782931,0.0441043028649054,-4.30244684660742,1.68922202912905e-05,0.00014545786956857,"DFFA","1676"
"ENSG00000130940",814.821476458877,-0.808893209222431,0.0524798522138688,-15.4134048610881,1.33014833103732e-53,9.2609070987548e-52,"CASZ1","54897"
"ENSG00000272078",273.077097094293,-0.825891019136875,0.0676095217924867,-12.2156021406537,2.56594604423558e-34,1.17137339185779e-32,NA,NA
"ENSG00000120948",2008.01179713816,-0.191572510682968,0.0401227399704568,-4.77466172110946,1.80009578509961e-06,1.79040395567516e-05,"TARDBP","23435"
"ENSG00000116649",776.863614985851,-0.479224844076742,0.0731008699504547,-6.55566540318254,5.53943112374344e-11,8.79642615695879e-10,"SRM","6723"
"ENSG00000048707",748.817570366552,-0.217508003780675,0.0626599517389268,-3.47124435535674,0.000518052346854703,0.00336266819661368,"VPS13D","55187"
"ENSG00000162496",62.7806628975116,-0.688301624697473,0.11169962643523,-6.16207633511282,7.17972234127777e-10,1.03999009972194e-08,"DHRS3","9249"
"ENSG00000116731",662.148157269702,-0.974687819420762,0.0832240521182234,-11.7116121435204,1.11145933883914e-31,4.59679675809439e-30,"PRDM2","7799"
"ENSG00000197312",508.545086027047,-0.272401639805123,0.0687834766771144,-3.96027727827483,7.48627870048072e-05,0.000573210231528933,"DDI2","84301"
"ENSG00000142627",61.633009934156,-0.663376379987478,0.126873110220164,-5.22866018525371,1.70742861802427e-07,1.942235098746e-06,"EPHA2","1969"
"ENSG00000233929",4.7580627299854,-0.743752831753834,0.256116621603871,-2.9039615902172,0.00368473361877896,0.0189011419060283,NA,NA
"ENSG00000219481",994.401640717649,-0.230356546807984,0.0526288870893215,-4.37699825225307,1.20324938837545e-05,0.000105680001749235,"NBPF1","55672"
"ENSG00000268869",79.3854510065827,-0.500896349065127,0.107615918266317,-4.65448194964578,3.24796287467469e-06,3.13156058654265e-05,"ESPNP","284729"
"ENSG00000169991",185.628812395305,-1.67659823225062,0.0775513253835948,-21.6192079755904,1.18493282724457e-103,2.02682028660166e-101,"IFFO2","126917"
"ENSG00000127463",1195.67694535404,-0.111630134306849,0.0358074863027066,-3.11750825967394,0.00182386835977963,0.0102743224739771,"EMC1","23065"
"ENSG00000053372",429.609004844837,-0.179314932476139,0.0688310930988855,-2.6051443381631,0.00918355633353977,0.0413984620143789,"MRTO4","51154"
"ENSG00000158747",165.869768122891,-0.403694530883294,0.104803730557088,-3.85190993428806,0.000117200131697291,0.000867882322109014,"NBL1","4681"
"ENSG00000117298",1545.36683676098,-0.476222994172437,0.0390499992057305,-12.1952113664205,3.29647546236715e-34,1.49746450921629e-32,"ECE1","1889"
"ENSG00000162551",41.0210915517312,-2.87191542638011,0.173116152308785,-16.5895289843175,8.29684742024341e-62,7.32183573296003e-60,"ALPL","249"
"ENSG00000169641",337.61376693994,-0.221419821342813,0.0835057272747417,-2.65155251704259,0.00801226516096228,0.0368742513885177,"LUZP1","7798"
"ENSG00000125944",1712.03419528401,-0.12207555910726,0.0454188029412913,-2.6877757933219,0.00719296754004417,0.0336229977285128,"HNRNPR","10236"
"ENSG00000088280",1190.67955865378,-0.461389712599452,0.0433068554252963,-10.6539647838283,1.67093311664625e-26,5.68117259659724e-25,"ASAP3","55616"
"ENSG00000011007",812.704465727404,-0.84066212383572,0.0482121199091543,-17.4367384263495,4.3415424381323e-68,4.22390670810765e-66,"TCEB3","6924"
"ENSG00000236810",111.038033309411,-0.773710785909508,0.0882852806035476,-8.76375745333948,1.88847918035826e-18,4.67229982926137e-17,"TCEB3-AS1","100506963"
"ENSG00000179163",204.187012316129,-0.172066399716876,0.0665074132998919,-2.58717624366179,0.00967660834545797,0.0433250633790015,"FUCA1","2517"
"ENSG00000001460",183.07088112799,-0.525628765548282,0.0764709772398803,-6.87357196834881,6.26138974438453e-12,1.07299387641865e-10,"STPG1","90529"
"ENSG00000001461",1882.54510008867,-1.08328822031372,0.0563748295325008,-19.2158136760164,2.72921759585226e-82,3.31695699916957e-80,"NIPAL3","57185"
"ENSG00000133226",1127.99718700233,-0.218707593889198,0.0496824541322163,-4.40210931020371,1.07203518520528e-05,9.52118428911484e-05,"SRRM1","10250"
"ENSG00000169504",1479.15134803241,-0.365752390878758,0.0717749762851331,-5.09582043504649,3.47234141403579e-07,3.79560475672314e-06,"CLIC4","25932"
"ENSG00000157978",393.712013283294,-0.28857344482528,0.0565999143187605,-5.09847847472147,3.42394458690899e-07,3.75009899222325e-06,"LDLRAP1","26119"
"ENSG00000117643",96.1761555434287,-0.375846425197774,0.0911110816850483,-4.12514502348898,3.70501221647716e-05,0.000299317554696065,"MAN1C1","57134"
"ENSG00000162430",880.340184908516,-0.171416653283416,0.0424685164227614,-4.0363230864251,5.4295433323176e-05,0.000426211461015639,"SELENON","57190"
"ENSG00000117640",426.432067409595,-0.380977778097705,0.0552082072278826,-6.90074532804779,5.17304001239108e-12,8.92003352478884e-11,"MTFR1L","56181"
"ENSG00000223474",43.4953201672423,-0.3627920884205,0.128889753041717,-2.8147473314118,0.00488155977416254,0.0241033537672922,NA,NA
"ENSG00000117676",725.695566637656,-0.679116677980331,0.0443984331346083,-15.2959604660229,8.13517402806287e-53,5.56606598315116e-51,"RPS6KA1","6195"
"ENSG00000117713",583.639807295345,-0.63677880156301,0.0571150591807507,-11.1490526438537,7.23727786216994e-29,2.70640984562387e-27,"ARID1A","8289"
"ENSG00000175707",274.176932649799,-0.864343309198498,0.0713233743363042,-12.1186541893397,8.41292544456477e-34,3.76003490433693e-32,"KDF1","126695"
"ENSG00000253368",110.717008372199,-1.73541569291045,0.112529321638174,-15.4218977564843,1.16626186664964e-53,8.1403315679752e-52,"TRNP1","388610"
"ENSG00000158246",1139.06808159196,-1.28889817339966,0.0620594127843305,-20.7687781042797,8.29414410649724e-96,1.30585643858545e-93,"FAM46B","115572"
"ENSG00000142733",259.894714467181,-0.361898174117656,0.0746001208772001,-4.85117409814093,1.22732751437555e-06,1.24713037856056e-05,"MAP3K6","9064"
"ENSG00000174950",37.7245306978287,-0.893589871853977,0.159896445367691,-5.58855370298645,2.28968570882263e-08,2.86184893962449e-07,"CD164L2","388611"
"ENSG00000181773",4.44192645916199,-1.38136372074012,0.257438279128003,-5.3658054482771,8.05887719823895e-08,9.50261647502984e-07,"GPR3","2827"
"ENSG00000126705",432.70823701455,-0.51193166629082,0.0659063793341578,-7.76755864095082,8.0013299458552e-15,1.64113140488266e-13,"AHDC1","27245"
"ENSG00000117758",287.699967875218,-0.300199489387198,0.0671420669856987,-4.47110884225742,7.78150803869582e-06,7.09061452654591e-05,"STX12","23673"
"ENSG00000130768",493.757334729695,-0.740424219428445,0.0537238341883112,-13.7820434936407,3.26886403566125e-43,1.83732702694063e-41,"SMPDL3B","27293"
"ENSG00000227050",105.246429417425,-0.69228751096366,0.105523491178914,-6.56050613213599,5.36254493276263e-11,8.52041972975072e-10,NA,NA
"ENSG00000158156",70.4116497089406,-0.399018738944288,0.10221476074604,-3.90372912906072,9.47217896814484e-05,0.000714020890117774,"XKR8","55113"
"ENSG00000204138",669.191262249919,-0.16545908399796,0.0641814805569936,-2.57798795792863,0.00993774610951724,0.0442300468346826,"PHACTR4","65979"
"ENSG00000198492",750.536683600029,-0.133878823258071,0.0385310017542173,-3.47457416529322,0.000511664898325827,0.00332744293184902,"YTHDF2","51441"
"ENSG00000121766",268.012665010149,-0.325462596254186,0.0626743528275261,-5.19291514903757,2.07026553486472e-07,2.33389169939388e-06,"ZCCHC17","51538"
"ENSG00000229044",41.7690697121546,-0.358881434887567,0.126291377925902,-2.84169387318057,0.00448745581159228,0.0224009008357453,NA,NA
"ENSG00000184007",4886.77367739117,-0.192198236604504,0.0444705353846752,-4.32192315523003,1.54675063626605e-05,0.000133688272398417,"PTP4A2","8073"
"ENSG00000175130",870.115683086246,-0.194406904446841,0.0543399500642261,-3.57760550418367,0.000346756271152583,0.00234356494478977,"MARCKSL1","65108"
"ENSG00000160058",768.390020151579,-0.265092971957838,0.051475665943338,-5.14986969279115,2.60667495729613e-07,2.89851376672054e-06,"BSDC1","55108"
"ENSG00000225313",8.85115389516574,-0.811830746329452,0.230434026815166,-3.52305064295314,0.000426609835291648,0.00282200012793783,NA,NA
"ENSG00000134686",532.921513453237,-0.694354176201545,0.0586551816908505,-11.8379000147204,2.48599777845253e-32,1.05817201906175e-30,"PHC2","1912"
"ENSG00000116560",3278.94159162179,-0.252410668781759,0.0434092392974585,-5.814676158044,6.07513802947047e-09,8.07396042190057e-08,"SFPQ","6421"
"ENSG00000146463",605.301030725753,-0.634195415822243,0.0659364812425667,-9.6182781348184,6.69423315510508e-22,1.93629645853822e-20,"ZMYM4","9202"
"ENSG00000227409",15.7182265092411,-0.931235722452898,0.192466294495519,-4.83843534731002,1.30865250347085e-06,1.32636287019668e-05,NA,NA
"ENSG00000126067",955.517618681356,-0.184341596474152,0.0535872391877417,-3.44002787358227,0.00058165427946212,0.00372920871908731,"PSMB2","5690"
"ENSG00000054116",376.246556362468,-0.165896202504916,0.062300198897407,-2.66285189198362,0.00774815090445635,0.0358133880838174,"TRAPPC3","27095"
"ENSG00000116871",727.844277911853,-0.211617347281909,0.0548163924452648,-3.86047563223379,0.000113166526545524,0.000840483637249123,"MAP7D1","55700"
"ENSG00000054118",1249.95851934726,-0.226638699164076,0.0461026540202836,-4.91595774647513,8.83494534412936e-07,9.1967068176493e-06,"THRAP3","9967"
"ENSG00000196182",509.178825178226,-0.194460865838302,0.0425444693440489,-4.57076721925321,4.85941836145482e-06,4.57697086321934e-05,"STK40","83931"
"ENSG00000181817",131.229104672695,-0.214296548322767,0.0845288478993339,-2.53518832503165,0.0112386888418295,0.0491205154269865,"LSM10","84967"
"ENSG00000163873",513.597000428932,-0.184578984994685,0.0696253774365519,-2.6510302965738,0.00802466428101604,0.0369162808421176,"GRIK3","2899"
"ENSG00000233621",68.451648661242,-0.70569727154049,0.122993090866384,-5.73769848834141,9.59717731593527e-09,1.2532412036973e-07,"LINC01137","728431"
"ENSG00000163874",433.763567398953,-2.56532604346842,0.084936831507366,-30.202751832648,2.17949199164293e-200,1.23252496098828e-197,"ZC3H12A","80149"
"ENSG00000163875",708.236788403207,-1.05953943776833,0.0508488651513013,-20.8370321464531,1.99850894406134e-96,3.16449616228227e-94,"MEAF6","64769"
"ENSG00000163877",250.842009010459,-0.590783260745827,0.0613772441784403,-9.62544455447135,6.24363543491583e-22,1.81163495184835e-20,"SNIP1","79753"
"ENSG00000163879",839.431057686654,-0.735018016876722,0.0443844632795353,-16.5602547055159,1.35021262299912e-61,1.17655320073288e-59,"DNALI1","7802"
"ENSG00000134697",514.932946708958,-0.282017212276714,0.0484101353356495,-5.82558198446174,5.69139107267721e-09,7.58943438998487e-08,"GNL2","29889"
"ENSG00000116922",214.126790889646,-0.282759468934988,0.0716327648946729,-3.94734824700332,7.90215739314217e-05,0.000602390045017798,"C1orf109","54955"
"ENSG00000196449",195.555148821307,-0.387064546034681,0.0801354262318964,-4.83013024619838,1.36443768853863e-06,1.37937133708156e-05,"YRDC","79693"
"ENSG00000197982",638.330300748038,-0.187554043315936,0.0705547257850964,-2.65827754596069,0.00785411821514297,0.0362427336788696,"C1orf122","127687"
"ENSG00000188786",349.97034477939,-0.911029927748555,0.0857970622380594,-10.6184279972284,2.44646217403291e-26,8.25718231942167e-25,"MTF1","4520"
"ENSG00000183386",64.2143615769355,-0.543161236162433,0.111870120472079,-4.85528426956503,1.20214164591174e-06,1.22513221802921e-05,"FHL3","2275"
"ENSG00000185668",1.68043163857934,-0.697072039549625,0.252874641022349,-2.75659131627998,0.00584073015180687,0.028132562577189,"POU3F1","5453"
"ENSG00000116954",491.915464042282,-0.38833733313102,0.0485387001488143,-8.00057133669464,1.23843219289228e-15,2.64791327662384e-14,"RRAGC","64121"
"ENSG00000214114",235.961639601576,-0.309242990397048,0.0620807826718647,-4.98129980144722,6.31586026104204e-07,6.67222599441384e-06,"MYCBP","26292"
"ENSG00000090621",2056.88555257087,-0.452249835908633,0.0305163590448815,-14.8199146314766,1.0892278896198e-49,7.1017658403211e-48,"PABPC4","8761"
"ENSG00000228060",196.454997490159,-0.492603443585702,0.0653145691881463,-7.5420147404892,4.62765424278352e-14,9.06876231029218e-13,"LOC101929516","101929516"
"ENSG00000043514",227.389672369475,-0.35698256000436,0.0670136926400994,-5.32700924155237,9.98430856350251e-08,1.16412790879389e-06,"TRIT1","54802"
"ENSG00000116990",129.013208882407,-0.690120894176426,0.0797071175075854,-8.65820915065396,4.79233620248671e-18,1.15978721546643e-16,"MYCL","4610"
"ENSG00000236546",12.3080787473044,-0.676708228524628,0.203291924795292,-3.32875115037673,0.000872363118117825,0.00532566248139347,"LOC105378668","105378668"
"ENSG00000168389",14.9650631268212,-0.980913582616488,0.195547617184003,-5.01623899458456,5.2692776171651e-07,5.61583395275558e-06,"MFSD2A","84879"
"ENSG00000131236",1965.37979841551,-0.118571974783203,0.034330287343987,-3.45385908352937,0.000552626054946782,0.00355791542346081,"CAP1","10487"
"ENSG00000084073",871.606824122891,-0.222714235459505,0.0623919217620483,-3.56960050547726,0.000357526032376333,0.00240706249371282,"ZMPSTE24","10269"
"ENSG00000084070",396.932415582146,-0.451252269979013,0.0498454144243899,-9.05303477140337,1.39048997423891e-19,3.5909112009469e-18,"SMAP2","64744"
"ENSG00000117016",59.7351631348875,-0.418593017770248,0.120562580611465,-3.47199782591949,0.00051660052043984,0.00335481612875275,"RIMS3","9783"
"ENSG00000179862",1634.79557749861,-2.06714945423395,0.125095022655741,-16.5246339170721,2.43916270726962e-61,2.10558251147792e-59,"CITED4","163732"
"ENSG00000171793",438.324072232306,-0.357721778026134,0.0533010398829681,-6.71134707336997,1.92835824071925e-11,3.17686128717779e-10,"CTPS1","1503"
"ENSG00000127124",132.615438737175,-0.224308525796526,0.0755276804807492,-2.96988500598398,0.00297911244041659,0.0157390287366909,"HIVEP3","59269"
"ENSG00000117394",589.648668771842,-1.14522629897053,0.0521146858583519,-21.9751166126812,4.98267847186272e-107,9.14370996392821e-105,"SLC2A1","6513"
"ENSG00000066322",1213.29309582215,-0.404977864055341,0.0430692888463625,-9.40293826303901,5.30602195748744e-21,1.46152950737552e-19,"ELOVL1","64834"
"ENSG00000117407",206.757369732691,-0.674619763531791,0.0709665236010653,-9.5061689554378,1.97813645326134e-21,5.59328174692568e-20,"ARTN","9048"
"ENSG00000117408",621.286934923345,-0.247241352410041,0.0497009973453228,-4.97457527244789,6.53908519313947e-07,6.89490299474485e-06,"IPO13","9670"
"ENSG00000126107",468.204441433369,-0.151430751086892,0.0510778309623216,-2.96470598367023,0.00302972337584281,0.0159638020050588,"HECTD3","79654"
"ENSG00000132763",100.81039980317,-0.246608428528544,0.0847283045310762,-2.91057905493783,0.00360759689480212,0.0185638829999938,"MMACHC","25974"
"ENSG00000117480",300.120260505709,-0.607720217178125,0.0804439751215687,-7.55457716080943,4.20222784113412e-14,8.26428200694297e-13,"FAAH","2166"
"ENSG00000154198",48.9004292636555,-0.543198825897136,0.129030956807815,-4.20983335577525,2.55559115332459e-05,0.000212276471398754,"CYP4Z2P","163720"
"ENSG00000186377",88.5455076428482,-0.553732970564474,0.0980721202043899,-5.64618129403598,1.6405085097818e-08,2.09004555430131e-07,"CYP4X1","260293"
"ENSG00000123473",353.665180243584,-0.2935835651443,0.0619019132449224,-4.74272198958862,2.10865559225144e-06,2.08309613052718e-05,"STIL","6491"
