"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000228794",66.5029005501305,0.375709758429939,0.102835570455378,3.65350001722376,0.000258689771167339,0.00179073034200524,"LINC01128","643837"
"ENSG00000223764",314.785392116879,0.410408681955238,0.0669390221154831,6.13108272252919,8.72830039051314e-10,1.25251788617876e-08,"LOC100130417","100130417"
"ENSG00000187634",244.477882342705,0.463864750206689,0.0866396228682969,5.35395624830711,8.6051675411273e-08,1.00952240713225e-06,"SAMD11","148398"
"ENSG00000268179",19.2245986677609,0.580698155382832,0.171154207861134,3.39283598480956,0.00069173042821428,0.00434448099859875,NA,NA
"ENSG00000187961",203.07662279351,0.416441074127702,0.0912846987326372,4.56200305099776,5.06679108229778e-06,4.75451340638237e-05,"KLHL17","339451"
"ENSG00000187583",70.9381064678008,0.380945088794884,0.116110789708857,3.28087587510245,0.0010348527509391,0.00620687656461525,"PLEKHN1","84069"
"ENSG00000272512",15.3581295411897,0.725283163901279,0.196921514150335,3.68310779566513,0.00023040766867543,0.00160902129510992,NA,NA
"ENSG00000188290",269.775326590969,0.323291980397866,0.110116029382001,2.93592115709459,0.00332558835353592,0.0173023006527376,"HES4","57801"
"ENSG00000187608",19.0520501372142,0.592950867339717,0.17805222811682,3.33020751052149,0.000867812838056331,0.00530255650331663,"ISG15","9636"
"ENSG00000217801",51.5044808165528,0.711634340947717,0.117272616258886,6.06820555087423,1.29347293741473e-09,1.82774783762173e-08,"LOC100288175","100288175"
"ENSG00000273443",5.06908026648775,0.781753378305297,0.244875608846556,3.19245098353245,0.00141070885543728,0.00817458116575827,NA,NA
"ENSG00000237330",42.2372255995761,1.07033065160653,0.118658162671554,9.02028674225481,1.87597619965274e-19,4.80437157970216e-18,"RNF223","401934"
"ENSG00000224051",388.85673116274,0.316376012508421,0.0786649019499337,4.02181919339045,5.77503813608757e-05,0.000450905344466009,"CPTP","80772"
"ENSG00000107404",693.472285291236,0.169434697289892,0.0512470488942184,3.30623325529692,0.000945593352855575,0.0057360752643669,"DVL1","1855"
"ENSG00000162576",922.059938645566,0.297784550679021,0.0628787509030127,4.73585347040909,2.1813515535881e-06,2.15184234780799e-05,"MXRA8","54587"
"ENSG00000225285",16.2624095499981,0.461041123651659,0.178459223920808,2.5834535952944,0.00978166249567516,0.0436895338096645,NA,NA
"ENSG00000179403",1042.99875931526,0.200760355290257,0.072938313550477,2.7524677431885,0.00591479730602525,0.0284349467990909,"VWA1","64856"
"ENSG00000272106",49.436942135416,0.314888043314855,0.11722851459366,2.68610452334339,0.00722904703678071,0.0337559781382828,NA,NA
"ENSG00000197530",395.732268634594,0.195475764895391,0.073005120029299,2.67756240681395,0.0074160035798103,0.0344736552921562,"MIB2","142678"
"ENSG00000067606",357.329320824986,0.296044922332987,0.0558422102124898,5.30145424413687,1.14883843438248e-07,1.33309518495555e-06,"PRKCZ","5590"
"ENSG00000269554",53.2932395961041,0.338299601215212,0.125939726243073,2.68620245022821,0.00722692851303548,0.0337532764362402,NA,NA
"ENSG00000157873",87.3898595569806,0.490959965298965,0.0920613791764792,5.33296339562552,9.66227945533821e-08,1.12875954345456e-06,"TNFRSF14","8764"
"ENSG00000142611",4.95511463532257,0.663801978747535,0.250786132174607,2.64688471005793,0.00812370435797178,0.0373065707257869,"PRDM16","63976"
"ENSG00000130762",332.238367113616,0.378449268556313,0.0650687896930217,5.81614119982471,6.02216027337514e-09,8.01123673428829e-08,"ARHGEF16","27237"
"ENSG00000078900",180.807542121202,1.02264175832736,0.0667291938247632,15.3252527074268,5.18524936748754e-53,3.55651633596732e-51,"TP73","7161"
"ENSG00000235169",16.7200102163896,0.696618054533169,0.183624644981815,3.79370674672867,0.000148414945160385,0.00107743728854971,"SMIM1","388588"
"ENSG00000215788",135.231696552111,0.282687592743811,0.107321471429756,2.63402643457825,0.00843789183305798,0.038495646918242,"TNFRSF25","8718"
"ENSG00000171680",228.644286460135,0.386434112437116,0.06491400991215,5.95301558107546,2.63246224733135e-09,3.62732614985339e-08,"PLEKHG5","57449"
"ENSG00000116273",378.152956716058,0.133452195837144,0.0517046239139925,2.58104954131633,0.00985004453314931,0.0439100279944606,"PHF13","148479"
"ENSG00000049247",34.9614392988986,0.372720975235981,0.141469849828525,2.63463187165148,0.00842285783269505,0.038448956500059,"UTS2","10911"
"ENSG00000171603",1628.21064996705,0.109988126668217,0.0322967494686507,3.40554787951582,0.000660314336435558,0.00416985192858462,"CLSTN1","22883"
"ENSG00000271895",22.8328504656539,0.425502311187142,0.160362615027256,2.65337598239354,0.00796910489967943,0.0367133979473322,NA,NA
"ENSG00000132879",242.204003490076,0.337019243014821,0.0709534045740976,4.74986711402787,2.03550360902172e-06,2.0129837618127e-05,"FBXO44","93611"
"ENSG00000215910",61.3117907962188,0.376156266294277,0.102521398835883,3.66905124750035,0.000243452277985176,0.00169201470352877,"C1orf167","284498"
"ENSG00000177000",303.126606030207,0.363735731617375,0.0597255292462936,6.09012153106953,1.128250060167e-09,1.60574263827569e-08,"MTHFR","4524"
"ENSG00000142634",207.227453584173,0.231117919759152,0.0764720937607585,3.02225175738224,0.0025090178047524,0.0135764271372172,"EFHD2","79180"
"ENSG00000132906",68.7261181043824,0.280458832761886,0.0981659617527256,2.85698655373382,0.00427683955569816,0.0214888892272703,"CASP9","842"
"ENSG00000116786",466.1407685239,0.153456175369587,0.0512220894474876,2.99589839119916,0.00273637597107756,0.0146380266715365,"PLEKHM2","23207"
"ENSG00000162458",269.322779855779,0.166918915183072,0.060966116152703,2.73789648605772,0.00618335351188713,0.0295313212365378,"FBLIM1","54751"
"ENSG00000179743",47.1672602137958,0.425569076292333,0.115525663834122,3.6837622236336,0.000229816631487642,0.00160610816103974,"FLJ37453","729614"
"ENSG00000183888",31.1202607081527,0.808482095767298,0.147210571772455,5.49201111056735,3.97382386168011e-08,4.83383051831237e-07,"C1orf64","149563"
"ENSG00000233078",9.50383617497276,0.657899329965774,0.22591261011704,2.91218506848703,0.00358909918319968,0.0184824267545927,NA,NA
"ENSG00000234166",22.1673672022761,0.476532919629597,0.176342788242475,2.70231022418877,0.00688594811406102,0.0323900224479088,NA,NA
"ENSG00000142632",442.631036037206,0.600023920563808,0.0539510205561929,11.121641710908,9.84436123493667e-29,3.66157382308853e-27,"ARHGEF19","128272"
"ENSG00000237276",18.9971439909148,0.55963335111229,0.171246387754852,3.26800091055605,0.00108310017174984,0.00645295759174112,NA,NA
"ENSG00000186301",66.1831266756416,0.299298057163437,0.101619093036502,2.94529352919859,0.00322648409965975,0.0168754009817991,NA,NA
"ENSG00000058453",478.998310634885,0.263686661472302,0.0860126455328097,3.06567319071378,0.0021718055636755,0.0119762651083479,"CROCC","9696"
"ENSG00000142619",536.072476259347,0.20489333483659,0.0607572592133336,3.37232682134589,0.000745359442377834,0.00462988346744895,"PADI3","51702"
"ENSG00000074964",286.669841183279,0.280475964593616,0.0596630426080287,4.70100002167628,2.5889048760697e-06,2.52689517843929e-05,"ARHGEF10L","55160"
"ENSG00000179023",239.91781859914,0.302769872467629,0.0710373007601072,4.26212523882463,2.02491900230616e-05,0.000171749328294777,"KLHDC7A","127707"
"ENSG00000162543",7.00244566066574,0.687432950078209,0.230626964723736,2.98071368585053,0.00287577524840631,0.0152775560071585,"UBXN10","127733"
"ENSG00000162545",204.06482268198,0.787320339787077,0.0835533723840377,9.42296303934095,4.38534505415844e-21,1.2151791145073e-19,"CAMK2N1","55450"
"ENSG00000076864",35.9901042818302,0.523624200327924,0.138076031122988,3.79228890104409,0.000149265120556613,0.00108260532978017,"RAP1GAP","5909"
"ENSG00000007968",201.026952847765,0.2386560420171,0.0624865140039696,3.81932078979375,0.000133819640626237,0.00097917672082203,"E2F2","1870"
"ENSG00000117318",422.708574887247,0.501567709716574,0.079363716546021,6.31986166406066,2.61797554480805e-10,3.93833346072915e-09,"ID3","3399"
"ENSG00000117308",335.374274754883,0.224611024802134,0.0734747224501781,3.05698364433345,0.00223576474977818,0.0122727894644123,"GALE","2582"
"ENSG00000189266",332.912952551473,0.398110553019027,0.0668110747995509,5.95875091387847,2.54173162869329e-09,3.50579310259288e-08,"PNRC2","55629"
"ENSG00000158055",70.3126845880878,1.7743867482317,0.127480596225626,13.9188770743686,4.8648726410099e-44,2.79679711374241e-42,"GRHL3","57822"
"ENSG00000117602",234.181118374806,0.479428342256763,0.0704717784581496,6.80312534671559,1.02373499057649e-11,1.72657922026017e-10,"RCAN3","11123"
"ENSG00000264443",26.3690499234475,0.728127037016774,0.152295986642091,4.78099950675613,1.7442579052502e-06,1.73923665183458e-05,NA,NA
"ENSG00000117616",469.084602109004,0.338552880800929,0.0974198127049036,3.47519535709278,0.000510481445056724,0.00332263730522809,"RSRP1","57035"
"ENSG00000236528",24.7002974612532,0.721436998274535,0.157667849727816,4.57567601460896,4.74684672501872e-06,4.47855371979124e-05,NA,NA
"ENSG00000182749",111.599766937655,0.720840607001819,0.0839293886956196,8.5886555139349,8.79929109974143e-18,2.10015810830177e-16,"PAQR7","164091"
"ENSG00000158008",18.8345481331102,0.648466208092243,0.171968584034922,3.77084112037904,0.000162698237098791,0.00116978934873054,"EXTL1","2134"
"ENSG00000175087",94.8795960592334,0.480915866970618,0.0913966228699209,5.26185598405616,1.42608453765559e-07,1.64038200657685e-06,"PDIK1L","149420"
"ENSG00000142675",323.831079061671,0.36980556942739,0.0728710244877797,5.07479580569648,3.87912339330158e-07,4.21366167104613e-06,"CNKSR1","10256"
"ENSG00000176092",138.80451937742,0.298602401172339,0.0930364717878776,3.20951983060095,0.001329568748825,0.00775117566254803,"AIM1L","55057"
"ENSG00000131914",178.331575799503,0.908467805290786,0.0738956139490207,12.2939340610597,9.76362025317612e-35,4.50166251606506e-33,"LIN28A","79727"
"ENSG00000204160",250.60797219114,0.223143358036002,0.0680778062138878,3.27776951764466,0.00104630790744932,0.00626473468353949,"ZDHHC18","84243"
"ENSG00000175793",637.256742464568,0.351521959349275,0.0806077241249459,4.36089671511379,1.29530502852201e-05,0.000113155429824542,"SFN","2810"
"ENSG00000090020",704.225531645945,0.247045793207663,0.0555278686464003,4.44904152148973,8.62543419450729e-06,7.78536747654062e-05,"SLC9A1","6548"
"ENSG00000142765",734.7172051523,0.338010422278134,0.0662085493127827,5.1052383081421,3.30377900067143e-07,3.62565212311308e-06,"SYTL1","84958"
"ENSG00000180098",182.790478574849,0.228402863424101,0.0693035105430042,3.29568966470137,0.000981804052080225,0.00592181617992064,"TRNAU1AP","54952"
"ENSG00000116350",664.956759552548,0.179969544705451,0.0570459579553305,3.15481676802369,0.00160598932591368,0.00917944806540181,"SRSF4","6429"
"ENSG00000121753",883.01857043083,0.173667925206721,0.0469010047247626,3.70286151066245,0.000213181267756411,0.00149930277399242,"ADGRB2","576"
"ENSG00000084652",925.003725946659,0.123779655462529,0.0365242843334808,3.38896867444063,0.000701560246362228,0.00439923838576541,"TXLNA","200081"
"ENSG00000162522",2942.81552301596,0.209169386206539,0.0488958551790105,4.27785515644952,1.88702737001574e-05,0.000161188435336424,"KIAA1522","57648"
"ENSG00000116514",136.057653036137,0.352627090377339,0.0799879246878338,4.40850405549994,1.04087071734144e-05,9.27710761580292e-05,"RNF19B","127544"
"ENSG00000116525",111.231908627643,0.622671926476008,0.0842991669601257,7.38645408881131,1.50796184413575e-13,2.86792194241604e-12,"TRIM62","55223"
"ENSG00000160094",56.6777746730779,0.595339910361647,0.105650110924317,5.63501453195939,1.75043575980857e-08,2.22294110468816e-07,"ZNF362","149076"
"ENSG00000189280",9.67216513767042,0.820318599462929,0.215112556886751,3.81343893325018,0.000137046399881487,0.0010005786035683,"GJB5","2709"
"ENSG00000092853",167.67863976946,0.217701160732196,0.0861099559590467,2.528176426379,0.0114656719714561,0.0499942990289614,"CLSPN","63967"
"ENSG00000134698",117.021037820136,0.314784736783963,0.0949614941531123,3.314867142638,0.000916866900021143,0.00557646659341218,"AGO4","192670"
"ENSG00000134690",684.484940231022,0.115179116752792,0.0406130695973526,2.83601111402571,0.00456808563238316,0.0227296916633754,"CDCA8","55143"
"ENSG00000158315",53.1114571587324,0.405566458318177,0.112600016030528,3.6018330424413,0.000315981282559225,0.00215342876038272,"RHBDL2","54933"
"ENSG00000182109",72.8128842866545,0.363752486681524,0.129877159393017,2.800742550742,0.0050985176249934,0.02497435449683,NA,NA
"ENSG00000261798",6.0586424177181,0.643784850230738,0.243580154908306,2.64301026687944,0.00821725435535306,0.037673745563672,"LOC101929536","101929536"
"ENSG00000066136",263.90730590419,0.330072699450559,0.0591314699637263,5.5820141060765,2.37749089602069e-08,2.96757985264565e-07,"NFYC","4802"
"ENSG00000204060",44.488104787084,0.773200294931232,0.134908214916956,5.73130624704494,9.96601439373335e-09,1.29895700305904e-07,"FOXO6","100132074"
"ENSG00000127129",2.46592050537729,0.956367381958485,0.265634128289789,3.60031818244059,0.00031782801035382,0.00216388554469394,"EDN2","1907"
"ENSG00000117385",188.280845310882,0.214199785766808,0.0654277591666625,3.27383649531971,0.00106097983091666,0.00634025255870187,"P3H1","64175"
"ENSG00000164010",157.35149435821,0.254408881509497,0.0823063229693037,3.09100045210839,0.00199483330200911,0.0111131545634645,"ERMAP","114625"
"ENSG00000179178",271.804563804797,0.289060627658353,0.075131101083062,3.84741636274941,0.000119370008088782,0.000883242436352507,"TMEM125","128218"
"ENSG00000253313",116.869943805636,0.240911747079271,0.0781316612883275,3.08340745744852,0.00204644747767436,0.0113618632751666,"C1orf210","149466"
"ENSG00000066135",408.729131479106,0.257339532277573,0.0623340143183978,4.12839659199712,3.65301656851273e-05,0.000295461439327168,"KDM4A","9682"
"ENSG00000236200",83.360037657238,0.337084367726337,0.0951409199977106,3.54300092677734,0.000395601312116589,0.00263385688581227,NA,NA
"ENSG00000230615",82.99986016112,0.326023564659726,0.102785306362864,3.17188882532257,0.00151450973536563,0.00870645887670824,NA,NA
"ENSG00000271647",134.99670274586,0.312760109021394,0.0992032975892662,3.15271887751476,0.00161757503249698,0.00923804702194793,NA,NA
