"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000238009",20.4903785994751,-0.586149131281875,0.163410419001281,-3.58697526671956,0.00033453604133255,0.00218800708521521,NA,NA
"ENSG00000169972",245.39849522321,-0.335060904085857,0.0825932797165505,-4.05675746544686,4.97587054229052e-05,0.000381934947258241,"PUSL1","126789"
"ENSG00000127054",1273.44420413601,-0.218994369496973,0.0533600247548305,-4.10409047790308,4.05908595347166e-05,0.000316947054283006,"CPSF3L","54973"
"ENSG00000240731",49.3483915452096,-0.471826774600556,0.119813439404277,-3.93801210403875,8.21594509866507e-05,0.000607071791838831,NA,NA
"ENSG00000248333",560.869450546584,-0.148193400337781,0.0551360049457157,-2.6877790743759,0.00719289686766131,0.0335185933726708,"CDK11B","984"
"ENSG00000272004",171.347653292436,-0.773183906181244,0.0896287122226395,-8.62652030814232,6.32467754712219e-18,1.42829375503092e-16,NA,NA
"ENSG00000189339",2075.50553132039,-0.778458561006108,0.0488343013093998,-15.9408149627047,3.30021621763933e-57,2.27005452245689e-55,"SLC35E2B","728661"
"ENSG00000269737",22.2365955145639,-0.854787460577667,0.176036473613433,-4.85574064869496,1.19937596354651e-06,1.1720874850348e-05,NA,NA
"ENSG00000227775",236.637326515431,-0.618989629686288,0.0734724549748337,-8.42478490610267,3.61413556265965e-17,7.84449225745875e-16,NA,NA
"ENSG00000215790",157.655130565424,-0.356266499889541,0.109392569017209,-3.25677057491442,0.00112687473449885,0.00658391707310704,"SLC35E2","9906"
"ENSG00000078369",3257.65023975837,-0.0889237608963266,0.0315123982169472,-2.82186586638474,0.00477451421989243,0.0234744201381003,"GNB1","2782"
"ENSG00000157933",487.473864726716,-0.15314415348928,0.0555746005215792,-2.75565010008151,0.00585756213905478,0.0279875498378965,"SKI","6497"
"ENSG00000158292",211.461132020806,-0.700905377134885,0.0793406058784425,-8.83413189721212,1.00878568392059e-18,2.36827616826106e-17,"GPR153","387509"
"ENSG00000069812",135.138300067045,-1.97650760166997,0.0943943628707462,-20.9388308958279,2.37208584844897e-97,3.37749443531407e-95,"HES2","54626"
"ENSG00000187017",917.100782055421,-0.727665019937961,0.0818848903055247,-8.88643823326789,6.30991061225366e-19,1.49241963874707e-17,"ESPN","83715"
"ENSG00000231868",24.85165552608,-0.797522451618646,0.173849594760633,-4.58742772864512,4.48740695833618e-06,4.05418426245367e-05,NA,NA
"ENSG00000171735",194.44512314838,-0.377230154201305,0.076176436961277,-4.95205826433,7.34326090980633e-07,7.38657862693589e-06,"CAMTA1","23261"
