"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000069812",135.138300067045,-0.30029929683875,0.0765876978215285,-3.92098607714432,8.8187358629923e-05,0.0368292456478216,"HES2","54626"
"ENSG00000175707",274.176932649799,-0.30261238321463,0.065745781772866,-4.60276499958696,4.16918569875982e-06,0.00298483916133355,"KDF1","126695"
"ENSG00000116717",85.8760574031566,-0.327698231074831,0.0857239551893954,-3.82271478667575,0.000131990419553197,0.0481220367134299,"GADD45A","1647"
"ENSG00000163399",9008.03397084035,-0.141357442227522,0.0370220746935534,-3.81819342642448,0.000134432508029137,0.0481220367134299,"ATP1A1","476"
"ENSG00000203865",1361.39387013257,-0.164560130781347,0.034365412646328,-4.78853935132161,1.67999623226184e-06,0.00142189044355744,"ATP1A1-AS1","84852"
"ENSG00000162889",2018.62495370439,-0.135103634915023,0.0331997793647618,-4.06941363768284,4.71316060166441e-05,0.0242256454925551,"MAPKAPK2","9261"
"ENSG00000135801",968.960096818099,-0.289368211206802,0.053282570290774,-5.43082305578841,5.60947328615053e-08,7.49650009961156e-05,"TAF5L","27097"
"ENSG00000135763",762.500488746666,-0.325347201181019,0.0628373814581891,-5.17760596687976,2.24751290756609e-07,0.000265021433794528,"URB2","9816"
"ENSG00000134317",707.239396306728,-0.226991228914887,0.0598484960412738,-3.79276412824718,0.000148979653000989,0.0497741020676304,"GRHL1","29841"
"ENSG00000143878",4876.99877005662,-0.202181455408891,0.0398267197987722,-5.07652792975242,3.8439431684925e-07,0.000405556235555793,"RHOB","388"
"ENSG00000153094",129.6808841137,-0.287799624853228,0.0756761824043822,-3.80304100589199,0.000142930685917211,0.0488568346025805,"BCL2L11","10018"
"ENSG00000144355",621.365619385495,-0.336050053837486,0.0538920866985084,-6.23561035440083,4.50019973319346e-10,2.2552750962899e-06,"DLX1","1745"
"ENSG00000144677",1071.6624189946,-0.202880466807753,0.0409349457285157,-4.95616796839734,7.18970672435142e-07,0.000720624304981743,"CTDSPL","10217"
"ENSG00000163659",605.321557630057,-0.393778493553113,0.0766043590650755,-5.14041887901703,2.74126656752116e-07,0.000305285720069607,"TIPARP","25976"
"ENSG00000168884",468.426723885932,-0.247162206912432,0.0556578905863629,-4.44073974612669,8.96501641064256e-06,0.00579718448283035,"TNIP2","79155"
"ENSG00000170846",857.372966684128,-0.187938494785801,0.0491879504466164,-3.82082386192874,0.000133006620958264,0.0481220367134299,"LOC93622","93622"
"ENSG00000163993",217.360213342907,-0.334185694456319,0.0860212468445335,-3.88492037391987,0.000102363432036573,0.0402348501687285,"S100P","6286"
"ENSG00000173013",118.802751377124,-0.343196054817485,0.0735363133663091,-4.66702828992677,3.05587268793102e-06,0.0022688157000839,"CCDC96","257236"
"ENSG00000109519",661.860940104063,-0.223993396533968,0.0415494852190706,-5.3910029294697,7.00655323835996e-08,8.77833538851023e-05,"GRPEL1","80273"
"ENSG00000272717",72.7010768374512,-0.487642545139882,0.101080343382497,-4.8243063767067,1.40491320711062e-06,0.0012801313704427,NA,NA
"ENSG00000118985",601.466513007871,-0.379387770357693,0.0659688753541367,-5.75101164482567,8.87110039296959e-09,1.81437676931598e-05,"ELL2","22936"
"ENSG00000124507",2176.62420153468,-0.19063511184797,0.0488462075478126,-3.90276177861646,9.51012927863286e-05,0.038906132963158,"PACSIN1","29993"
"ENSG00000016402",1329.57080241199,-0.243149723207628,0.0383482361459544,-6.34057123989206,2.28914790743324e-10,1.52960863174689e-06,"IL20RA","53832"
