"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000183508",70.7483893486508,0.510062858198773,0.106996838139012,4.76708346779454,1.86911889404783e-06,0.00149873429400332,"FAM46C","54855"
"ENSG00000152518",1612.39463679725,0.30278729549065,0.0514678161941174,5.88304143989031,4.02795022362789e-09,1.00930362728556e-05,"ZFP36L2","678"
"ENSG00000138449",2129.55351731717,0.325383041636409,0.0787180865517755,4.13352325862741,3.57244124674501e-05,0.0193549073600677,"SLC40A1","30061"
"ENSG00000145632",735.651411494533,0.179245514364212,0.0471507084265497,3.8015444591556,0.000143796929140589,0.0488568346025805,"PLK2","10769"
"ENSG00000153714",2342.8299624768,0.14128836227591,0.0357314529580273,3.9541734404665,7.67996857967678e-05,0.0347054325013923,"LURAP1L","286343"
"ENSG00000166272",1540.57257508856,0.12749254535966,0.0311566253048163,4.09198827255375,4.27690285970015e-05,0.0225617880856708,"WBP1L","54838"
"ENSG00000139263",786.452350042213,0.279690898781011,0.0709697562978053,3.94098716652435,8.11469680823625e-05,0.0347054325013923,"LRIG3","121227"
"ENSG00000129514",1806.26181821259,0.400400807523274,0.05645099803777,7.09289155978032,1.31338372122688e-12,1.3164045037857e-08,"FOXA1","3169"
"ENSG00000152229",369.624006997686,0.22027773434247,0.0517724133308002,4.2547318189516,2.09299718344897e-05,0.0127140065270964,"PSTPIP2","9050"
"ENSG00000087510",670.684477459977,0.25184548246713,0.0442290539458583,5.69411868441545,1.24010802019706e-08,2.25992776117003e-05,"TFAP2C","7022"
"ENSG00000178935",502.733405201676,0.248284151089513,0.0624087228072256,3.97835654891445,6.93932580122798e-05,0.0334483743496832,"ZNF552","79818"
"ENSG00000100219",7754.52108828222,0.264921582760632,0.0560167090598883,4.72933142997387,2.25260397167203e-06,0.00173675766215914,"XBP1","7494"
