"X"	"DE"
"1"	"ENSG00000223972"	FALSE
"2"	"ENSG00000227232"	FALSE
"3"	"ENSG00000243485"	FALSE
"4"	"ENSG00000238009"	FALSE
"5"	"ENSG00000233750"	FALSE
"6"	"ENSG00000237683"	FALSE
"7"	"ENSG00000268903"	FALSE
"8"	"ENSG00000239906"	FALSE
"9"	"ENSG00000241860"	FALSE
"10"	"ENSG00000241599"	FALSE
"11"	"ENSG00000228463"	FALSE
"12"	"ENSG00000237094"	FALSE
"13"	"ENSG00000250575"	FALSE
"14"	"ENSG00000233653"	FALSE
"15"	"ENSG00000256186"	FALSE
"16"	"ENSG00000236743"	FALSE
"17"	"ENSG00000236679"	FALSE
"18"	"ENSG00000231709"	TRUE
"19"	"ENSG00000239664"	FALSE
"20"	"ENSG00000230021"	FALSE
"21"	"ENSG00000225972"	FALSE
"22"	"ENSG00000225630"	FALSE
"23"	"ENSG00000237973"	FALSE
"24"	"ENSG00000229344"	FALSE
"25"	"ENSG00000240409"	FALSE
"26"	"ENSG00000248527"	FALSE
"27"	"ENSG00000198744"	FALSE
"28"	"ENSG00000229376"	FALSE
"29"	"ENSG00000224956"	FALSE
"30"	"ENSG00000235373"	FALSE
"31"	"ENSG00000240618"	FALSE
"32"	"ENSG00000228327"	FALSE
"33"	"ENSG00000237491"	FALSE
"34"	"ENSG00000230092"	FALSE
"35"	"ENSG00000269831"	FALSE
"36"	"ENSG00000240453"	FALSE
"37"	"ENSG00000225880"	FALSE
"38"	"ENSG00000228794"	TRUE
"39"	"ENSG00000230368"	FALSE
"40"	"ENSG00000234711"	FALSE
"41"	"ENSG00000272438"	FALSE
"42"	"ENSG00000230699"	FALSE
"43"	"ENSG00000223764"	TRUE
"44"	"ENSG00000187634"	TRUE
"45"	"ENSG00000268179"	TRUE
"46"	"ENSG00000188976"	FALSE
"47"	"ENSG00000187961"	TRUE
"48"	"ENSG00000187583"	TRUE
"49"	"ENSG00000187642"	FALSE
"50"	"ENSG00000272512"	TRUE
"51"	"ENSG00000188290"	TRUE
"52"	"ENSG00000231702"	FALSE
"53"	"ENSG00000224969"	FALSE
"54"	"ENSG00000187608"	TRUE
"55"	"ENSG00000188157"	FALSE
"56"	"ENSG00000217801"	TRUE
"57"	"ENSG00000273443"	TRUE
"58"	"ENSG00000237330"	TRUE
"59"	"ENSG00000131591"	FALSE
"60"	"ENSG00000207730"	FALSE
"61"	"ENSG00000207607"	FALSE
"62"	"ENSG00000198976"	FALSE
"63"	"ENSG00000272141"	FALSE
"64"	"ENSG00000205231"	FALSE
"65"	"ENSG00000162571"	FALSE
"66"	"ENSG00000186891"	FALSE
"67"	"ENSG00000078808"	FALSE
"68"	"ENSG00000176022"	FALSE
"69"	"ENSG00000184163"	FALSE
"70"	"ENSG00000260179"	FALSE
"71"	"ENSG00000160087"	FALSE
"72"	"ENSG00000230415"	FALSE
"73"	"ENSG00000162572"	FALSE
"74"	"ENSG00000131584"	FALSE
"75"	"ENSG00000169972"	TRUE
"76"	"ENSG00000127054"	TRUE
"77"	"ENSG00000240731"	TRUE
"78"	"ENSG00000224051"	TRUE
"79"	"ENSG00000169962"	TRUE
"80"	"ENSG00000107404"	TRUE
"81"	"ENSG00000162576"	TRUE
"82"	"ENSG00000175756"	FALSE
"83"	"ENSG00000221978"	FALSE
"84"	"ENSG00000224870"	FALSE
"85"	"ENSG00000242485"	FALSE
