category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p.adjust.over_represented	p.adjust.under_represented
GO:0007165	5.03724929995051e-21	1	1748	4048	signal transduction	BP	1.02628917237192e-16	1
GO:0006357	6.84718974036681e-20	1	705	1451	regulation of transcription from RNA polymerase II promoter	BP	6.97523218851167e-16	1
GO:0050794	2.20235024838235e-19	1	3130	7782	regulation of cellular process	BP	1.4956894653514e-15	1
GO:0007154	4.09187323642246e-19	1	1877	4410	cell communication	BP	2.08419563297178e-15	1
GO:0006366	5.5639492106578e-19	1	772	1629	transcription from RNA polymerase II promoter	BP	2.26719802435884e-15	1
GO:0044700	1.08893203567437e-18	1	1868	4389	single organism signaling	BP	3.69765021580494e-15	1
GO:0023052	1.45713151673402e-18	1	1870	4396	signaling	BP	4.24108536027699e-15	1
GO:0009966	2.88087492063778e-16	1	977	2164	regulation of signal transduction	BP	7.33686820413428e-13	1
GO:0048522	3.53292200534988e-16	1	1570	3698	positive regulation of cellular process	BP	7.99775032633316e-13	1
GO:0045893	6.60112197132591e-16	1	523	1062	positive regulation of transcription, DNA-templated	BP	1.03672476070615e-12	1
GO:1903508	6.60112197132591e-16	1	523	1062	positive regulation of nucleic acid-templated transcription	BP	1.03672476070615e-12	1
GO:0050789	6.89242180922002e-16	1	3235	8150	regulation of biological process	BP	1.03672476070615e-12	1
GO:0051254	7.11597794008743e-16	1	548	1124	positive regulation of RNA metabolic process	BP	1.03672476070615e-12	1
GO:1902680	7.12385719538927e-16	1	530	1082	positive regulation of RNA biosynthetic process	BP	1.03672476070615e-12	1
GO:0051716	1.49944406143625e-15	1	2072	5018	cellular response to stimulus	BP	2.03664488718015e-12	1
GO:0045892	3.19364258841668e-15	1	435	875	negative regulation of transcription, DNA-templated	BP	4.06670463102509e-12	1
GO:0065007	3.53434525835062e-15	1	3406	8641	biological regulation	BP	4.2358088408021e-12	1
GO:0010628	4.39146878719338e-15	1	628	1331	positive regulation of gene expression	BP	4.77165002531653e-12	1
GO:0000122	4.44985523122676e-15	1	318	601	negative regulation of transcription from RNA polymerase II promoter	BP	4.77165002531653e-12	1
GO:0000981	5.14413961779051e-15	1	263	473	RNA polymerase II transcription factor activity, sequence-specific DNA binding	MF	5.02590329643571e-12	1
GO:0048523	5.18032635835623e-15	1	1432	3374	negative regulation of cellular process	BP	5.02590329643571e-12	1
GO:0035556	5.6957387409261e-15	1	963	2154	intracellular signal transduction	BP	5.27477186852856e-12	1
GO:0050793	7.1502253604005e-15	1	797	1731	regulation of developmental process	BP	6.33385615186086e-12	1
GO:1903506	1.32040014962332e-14	1	1267	2924	regulation of nucleic acid-templated transcription	BP	1.12090969368439e-11	1
GO:0097659	1.5689193806431e-14	1	1320	3069	nucleic acid-templated transcription	BP	1.2786065384489e-11	1
GO:2001141	1.73120282887483e-14	1	1270	2937	regulation of RNA biosynthetic process	BP	1.34431787327561e-11	1
GO:0010557	1.78151480212238e-14	1	595	1258	positive regulation of macromolecule biosynthetic process	BP	1.34431787327561e-11	1
GO:0010646	1.96634542923746e-14	1	1053	2381	regulation of cell communication	BP	1.39665058166115e-11	1
GO:0006355	1.98796833553418e-14	1	1258	2904	regulation of transcription, DNA-templated	BP	1.39665058166115e-11	1
GO:0010556	2.77730887189006e-14	1	1421	3334	regulation of macromolecule biosynthetic process	BP	1.88616303186294e-11	1
GO:0023051	2.88950942017502e-14	1	1070	2425	regulation of signaling	BP	1.89906015892406e-11	1
GO:0006351	3.11876496755176e-14	1	1312	3054	transcription, DNA-templated	BP	1.91637357975849e-11	1
GO:1902679	3.18161934748067e-14	1	449	919	negative regulation of RNA biosynthetic process	BP	1.91637357975849e-11	1
GO:0048518	3.19803188926026e-14	1	1696	4068	positive regulation of biological process	BP	1.91637357975849e-11	1
GO:0009889	3.45709304055082e-14	1	1480	3494	regulation of biosynthetic process	BP	1.95179382132542e-11	1
GO:2000113	3.46191332972667e-14	1	507	1054	negative regulation of cellular macromolecule biosynthetic process	BP	1.95179382132542e-11	1
GO:0045944	3.54453575091001e-14	1	400	793	positive regulation of transcription from RNA polymerase II promoter	BP	1.95179382132542e-11	1
GO:0043565	3.76303312304574e-14	1	410	810	sequence-specific DNA binding	MF	2.01757991707721e-11	1
GO:0010604	4.51573397273229e-14	1	987	2250	positive regulation of macromolecule metabolic process	BP	2.35906574257558e-11	1
GO:0010558	4.66420556258795e-14	1	533	1119	negative regulation of macromolecule biosynthetic process	BP	2.37571310330417e-11	1
GO:0031326	4.82746039338448e-14	1	1466	3459	regulation of cellular biosynthetic process	BP	2.39889458670282e-11	1
GO:1903507	5.14388951489846e-14	1	443	907	negative regulation of nucleic acid-templated transcription	BP	2.49527630896527e-11	1
GO:2000112	5.9785522186308e-14	1	1390	3258	regulation of cellular macromolecule biosynthetic process	BP	2.83272146284614e-11	1
GO:0031327	6.25393501850941e-14	1	552	1167	negative regulation of cellular biosynthetic process	BP	2.89585618334343e-11	1
GO:0009890	6.67837450827318e-14	1	559	1185	negative regulation of biosynthetic process	BP	3.02367116070128e-11	1
GO:0048519	7.73423396423129e-14	1	1515	3619	negative regulation of biological process	BP	3.42559310407061e-11	1
GO:0051173	8.45910959597696e-14	1	647	1397	positive regulation of nitrogen compound metabolic process	BP	3.6669340193284e-11	1
GO:0045935	1.5780182467224e-13	1	611	1309	positive regulation of nucleobase-containing compound metabolic process	BP	6.6980299497338e-11	1
GO:0051252	2.11687034571191e-13	1	1304	3043	regulation of RNA metabolic process	BP	8.80186049459888e-11	1
GO:0031328	2.19459730084675e-13	1	624	1345	positive regulation of cellular biosynthetic process	BP	8.94254508149034e-11	1
GO:0032502	2.30562252263689e-13	1	1846	4446	developmental process	BP	9.13169498968244e-11	1
GO:0009891	2.33065740386516e-13	1	631	1364	positive regulation of biosynthetic process	BP	9.13169498968244e-11	1
GO:0031323	2.87287945510277e-13	1	1923	4692	regulation of cellular metabolic process	BP	1.08629434277171e-10	1
GO:0051253	2.87915453566665e-13	1	462	961	negative regulation of RNA metabolic process	BP	1.08629434277171e-10	1
GO:0044767	3.02776658258885e-13	1	1815	4365	single-organism developmental process	BP	1.12159484279391e-10	1
GO:0009893	3.09617640442121e-13	1	1030	2376	positive regulation of metabolic process	BP	1.12645532256567e-10	1
GO:0001071	3.96267710753032e-13	1	470	960	nucleic acid binding transcription factor activity	MF	1.39199281704867e-10	1
GO:0003700	3.96267710753032e-13	1	470	960	transcription factor activity, sequence-specific DNA binding	MF	1.39199281704867e-10	1
GO:0008219	4.46002774929996e-13	1	696	1560	cell death	BP	1.54014585363114e-10	1
GO:0012501	9.19212884035893e-13	1	657	1469	programmed cell death	BP	3.12134054989121e-10	1
GO:0045595	9.64318994809979e-13	1	544	1146	regulation of cell differentiation	BP	3.22082544266533e-10	1
GO:0031325	1.55156323766463e-12	1	965	2221	positive regulation of cellular metabolic process	BP	5.09863700067407e-10	1
GO:0006915	1.62017425743317e-12	1	648	1450	apoptotic process	BP	5.23959211443547e-10	1
GO:0031324	1.81587650713482e-12	1	817	1860	negative regulation of cellular metabolic process	BP	5.780729368182e-10	1
GO:0080090	2.01111776156252e-12	1	1900	4652	regulation of primary metabolic process	BP	6.30377127293458e-10	1
GO:0010629	2.14621794813979e-12	1	552	1189	negative regulation of gene expression	BP	6.625309769e-10	1
GO:0048856	2.36572033793194e-12	1	1721	4131	anatomical structure development	BP	7.1939083828396e-10	1
GO:0030154	3.44767911478341e-12	1	1162	2682	cell differentiation	BP	1.03298550418525e-09	1
GO:0019219	4.90068847479273e-12	1	1398	3316	regulation of nucleobase-containing compound metabolic process	BP	1.44705256500619e-09	1
GO:0007275	5.74867468699589e-12	1	1532	3646	multicellular organism development	BP	1.6731928296122e-09	1
GO:0007166	6.62822290081674e-12	1	872	1979	cell surface receptor signaling pathway	BP	1.90201990677803e-09	1
GO:0032774	6.87821527610822e-12	1	1332	3182	RNA biosynthetic process	BP	1.93424601245804e-09	1
GO:0045934	6.93039947528402e-12	1	503	1074	negative regulation of nucleobase-containing compound metabolic process	BP	1.93424601245804e-09	1
GO:0019222	1.12897535023704e-11	1	2008	4955	regulation of metabolic process	BP	3.1083437548283e-09	1
GO:0060255	1.42862603478898e-11	1	1913	4701	regulation of macromolecule metabolic process	BP	3.88091024437209e-09	1
GO:0048731	1.52567311215083e-11	1	1363	3216	system development	BP	4.09000841933697e-09	1
GO:0000982	2.01448898612928e-11	1	151	255	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	MF	5.33028553290883e-09	1
GO:0051172	2.12856349747708e-11	1	553	1201	negative regulation of nitrogen compound metabolic process	BP	5.55991701251258e-09	1
GO:1902531	2.48417985627217e-11	1	618	1354	regulation of intracellular signal transduction	BP	6.40666840401129e-09	1
GO:0050896	2.56585100471049e-11	1	2371	5947	response to stimulus	BP	6.53458104624644e-09	1
GO:0051171	2.6553618987407e-11	1	1490	3587	regulation of nitrogen compound metabolic process	BP	6.67905473147445e-09	1
GO:0048869	2.71264758911331e-11	1	1278	2992	cellular developmental process	BP	6.73993682690178e-09	1
GO:0048513	2.95581444433945e-11	1	997	2310	animal organ development	BP	7.25563415529782e-09	1
GO:0042981	3.2338649350508e-11	1	502	1107	regulation of apoptotic process	BP	7.84366240318156e-09	1
GO:0001067	4.68614652846705e-11	1	333	663	regulatory region nucleic acid binding	MF	1.12324175730574e-08	1
GO:0043067	5.37473941431104e-11	1	505	1118	regulation of programmed cell death	BP	1.27331326543225e-08	1
GO:0010941	5.61836517751095e-11	1	536	1195	regulation of cell death	BP	1.31573071409894e-08	1
GO:0000975	6.0713703300248e-11	1	332	662	regulatory region DNA binding	MF	1.40566021709006e-08	1
GO:0042127	6.80388158824637e-11	1	513	1126	regulation of cell proliferation	BP	1.55755374695429e-08	1
GO:0001228	7.07161736866744e-11	1	136	231	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	MF	1.60085702521367e-08	1
GO:0000976	7.32295312003473e-11	1	271	522	transcription regulatory region sequence-specific DNA binding	MF	1.6395367787647e-08	1
GO:0044212	1.08521577722128e-10	1	330	660	transcription regulatory region DNA binding	MF	2.40328111359851e-08	1
GO:0009888	1.25004496985246e-10	1	596	1311	tissue development	BP	2.73853937804023e-08	1
GO:2000026	1.32431115835512e-10	1	581	1269	regulation of multicellular organismal development	BP	2.87037399365182e-08	1
GO:1901362	1.50491777719849e-10	1	1505	3687	organic cyclic compound biosynthetic process	BP	3.22749418869916e-08	1
GO:0009892	2.22284075086805e-10	1	861	2010	negative regulation of metabolic process	BP	4.71751640189434e-08	1
GO:0010468	2.35602294493257e-10	1	1465	3539	regulation of gene expression	BP	4.94861974021199e-08	1
GO:0010605	2.64636117197725e-10	1	801	1860	negative regulation of macromolecule metabolic process	BP	5.50173086916984e-08	1
GO:0071900	2.87140809642404e-10	1	205	393	regulation of protein serine/threonine kinase activity	BP	5.90929985419631e-08	1
GO:0019438	3.21016016611161e-10	1	1471	3601	aromatic compound biosynthetic process	BP	6.54038032243579e-08	1
GO:0051239	3.77123092262654e-10	1	846	1939	regulation of multicellular organismal process	BP	7.60743156609833e-08	1
GO:1990837	3.92868890857634e-10	1	281	553	sequence-specific double-stranded DNA binding	MF	7.8473635120916e-08	1
GO:0034654	4.81839771211569e-10	1	1450	3548	nucleobase-containing compound biosynthetic process	BP	9.5310713579267e-08	1
GO:0051093	4.87353317399469e-10	1	297	598	negative regulation of developmental process	BP	9.54743893143922e-08	1
GO:0048583	5.25177080988087e-10	1	1173	2786	regulation of response to stimulus	BP	1.01904360457631e-07	1
GO:0044707	5.69448123576631e-10	1	1796	4399	single-multicellular organism process	BP	1.09452227073116e-07	1
GO:0005515	6.06307941600491e-10	1	2873	7416	protein binding	MF	1.15447831795966e-07	1
GO:0065009	6.23909835034671e-10	1	979	2304	regulation of molecular function	BP	1.17699434990707e-07	1
GO:0030855	8.04044964175821e-10	1	209	401	epithelial cell differentiation	BP	1.50290019267139e-07	1
GO:0018130	8.34753168158895e-10	1	1465	3596	heterocycle biosynthetic process	BP	1.54611464073357e-07	1
GO:0009967	1.06667490170838e-09	1	497	1102	positive regulation of signal transduction	BP	1.95787697724384e-07	1
GO:0005488	1.25679063599479e-09	1	4065	10715	binding	MF	2.28623682301409e-07	1
GO:0003690	1.51642002137861e-09	1	307	624	double-stranded DNA binding	MF	2.73411871819183e-07	1
GO:0009653	2.08123140605651e-09	1	884	2025	anatomical structure morphogenesis	BP	3.71956216377153e-07	1
GO:0071310	3.3444766820848e-09	1	733	1696	cellular response to organic substance	BP	5.92524938441702e-07	1
GO:0051094	3.52628815429728e-09	1	417	896	positive regulation of developmental process	BP	6.19349955652179e-07	1
GO:0023057	4.06702753390671e-09	1	440	961	negative regulation of signaling	BP	7.0821896560526e-07	1
GO:0071495	4.73340685365424e-09	1	428	922	cellular response to endogenous stimulus	BP	8.17274840986029e-07	1
GO:0030522	4.89068686029179e-09	1	128	227	intracellular receptor signaling pathway	BP	8.37334908332646e-07	1
GO:0045596	4.9837257927197e-09	1	227	449	negative regulation of cell differentiation	BP	8.4615357750726e-07	1
GO:0060429	5.51330482592684e-09	1	376	800	epithelium development	BP	9.28331177879616e-07	1
GO:0008134	5.86981486271118e-09	1	220	438	transcription factor binding	MF	9.80259082072766e-07	1
GO:0009887	6.07506736461054e-09	1	354	747	animal organ morphogenesis	BP	1.00628798769573e-06	1
GO:0010942	6.167663662161e-09	1	245	510	positive regulation of cell death	BP	1.0096506624106e-06	1
GO:0010648	6.19447986656156e-09	1	438	959	negative regulation of cell communication	BP	1.0096506624106e-06	1
05200	7.26690522596255e-09	1	146	267	NA	NA	1.17504704026794e-06	1
GO:0030334	8.75387873171468e-09	1	253	511	regulation of cell migration	BP	1.4043427187398e-06	1
GO:0008283	9.27950760920171e-09	1	636	1465	cell proliferation	BP	1.4770366252334e-06	1
GO:0043068	9.81636294821359e-09	1	235	487	positive regulation of programmed cell death	BP	1.54875311672951e-06	1
GO:0007264	9.88209998894848e-09	1	254	506	small GTPase mediated signal transduction	BP	1.54875311672951e-06	1
GO:0071902	1.07170683197778e-08	1	132	242	positive regulation of protein serine/threonine kinase activity	BP	1.66679045761186e-06	1
GO:0048608	1.20646416725452e-08	1	167	319	reproductive structure development	BP	1.86215916239724e-06	1
GO:0010033	1.24534386043126e-08	1	912	2178	response to organic substance	BP	1.90771697837793e-06	1
GO:0097190	1.33258942907076e-08	1	234	490	apoptotic signaling pathway	BP	2.02613261402147e-06	1
GO:0007167	1.35141306687302e-08	1	366	775	enzyme linked receptor protein signaling pathway	BP	2.03953257959043e-06	1
GO:0061458	1.41017974120848e-08	1	168	322	reproductive system development	BP	2.11257367995453e-06	1
GO:0009968	1.70212859745732e-08	1	405	885	negative regulation of signal transduction	BP	2.531326134642e-06	1
