category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p.adjust.over_represented	p.adjust.under_represented
GO:0007165	3.6078638572931e-22	1	1710	4048	signal transduction	BP	7.35066182284896e-18	1
GO:0007154	2.31764458757091e-21	1	1843	4410	cell communication	BP	2.36098454135849e-17	1
GO:0023052	9.25219640630026e-21	1	1836	4396	signaling	BP	4.9955962912361e-17	1
GO:0044700	9.80778696620417e-21	1	1833	4389	single organism signaling	BP	4.9955962912361e-17	1
GO:0009966	9.06686705219134e-19	1	967	2164	regulation of signal transduction	BP	3.69456698642693e-15	1
GO:0050794	1.20619321433038e-18	1	3039	7782	regulation of cellular process	BP	4.09583009146118e-15	1
GO:0035556	2.22405253108579e-18	1	959	2154	intracellular signal transduction	BP	6.47326375262028e-15	1
GO:0048522	2.54315612743498e-16	1	1530	3698	positive regulation of cellular process	BP	5.40708337293193e-13	1
GO:0023051	2.64023606096423e-16	1	1056	2425	regulation of signaling	BP	5.40708337293193e-13	1
GO:0050789	2.80033902857291e-16	1	3149	8150	regulation of biological process	BP	5.40708337293193e-13	1
GO:0010646	2.91930485433647e-16	1	1038	2381	regulation of cell communication	BP	5.40708337293193e-13	1
GO:0065007	5.90054987517101e-16	1	3318	8641	biological regulation	BP	1.00181502630612e-12	1
GO:0051716	9.82119288936491e-16	1	2018	5018	cellular response to stimulus	BP	1.44313763720301e-12	1
GO:0048523	9.91652445314723e-16	1	1400	3374	negative regulation of cellular process	BP	1.44313763720301e-12	1
GO:0000122	2.45118394309965e-15	1	312	601	negative regulation of transcription from RNA polymerase II promoter	BP	3.32936144378082e-12	1
GO:0006357	3.88468181898894e-15	1	665	1451	regulation of transcription from RNA polymerase II promoter	BP	4.94665671125505e-12	1
GO:0006366	6.68684344729767e-15	1	732	1629	transcription from RNA polymerase II promoter	BP	8.01398519972016e-12	1
GO:0048519	1.05088161289683e-14	1	1482	3619	negative regulation of biological process	BP	1.18948122117556e-11	1
GO:1902531	2.27389883795089e-14	1	620	1354	regulation of intracellular signal transduction	BP	2.4383376276006e-11	1
GO:0031327	3.66661259097378e-14	1	540	1167	negative regulation of cellular biosynthetic process	BP	3.73517824642499e-11	1
GO:0031324	4.07119076536269e-14	1	807	1860	negative regulation of cellular metabolic process	BP	3.9498305073095e-11	1
GO:0048518	4.29380755395021e-14	1	1650	4068	positive regulation of biological process	BP	3.97645614109917e-11	1
GO:0045892	4.73146677696415e-14	1	420	875	negative regulation of transcription, DNA-templated	BP	4.19125670060293e-11	1
GO:2000113	5.70487486984331e-14	1	494	1054	negative regulation of cellular macromolecule biosynthetic process	BP	4.84296335825782e-11	1
GO:0009890	8.89652819803906e-14	1	545	1185	negative regulation of biosynthetic process	BP	7.25031462027391e-11	1
GO:0071900	1.02084822503019e-13	1	212	393	regulation of protein serine/threonine kinase activity	BP	7.99952374490968e-11	1
GO:0010558	1.37228791978174e-13	1	518	1119	negative regulation of macromolecule biosynthetic process	BP	1.0355182991716e-10	1
GO:1902679	1.94968283252221e-13	1	435	919	negative regulation of RNA biosynthetic process	BP	1.41867278677884e-10	1
GO:1903507	2.04084874003538e-13	1	430	907	negative regulation of nucleic acid-templated transcription	BP	1.43380180101658e-10	1
GO:0051254	2.18833423271679e-13	1	523	1124	positive regulation of RNA metabolic process	BP	1.4861707219124e-10	1
GO:0010604	3.34602445321992e-13	1	956	2250	positive regulation of macromolecule metabolic process	BP	2.19909361967428e-10	1
GO:0050793	3.53492803800606e-13	1	767	1731	regulation of developmental process	BP	2.25064449519798e-10	1
GO:0065009	3.80901974798125e-13	1	978	2304	regulation of molecular function	BP	2.35166570743546e-10	1
GO:1902680	4.69473825106211e-13	1	504	1082	positive regulation of RNA biosynthetic process	BP	2.81325285668057e-10	1
GO:0045893	5.02989340813511e-13	1	497	1062	positive regulation of transcription, DNA-templated	BP	2.82144110029423e-10	1
GO:1903508	5.02989340813511e-13	1	497	1062	positive regulation of nucleic acid-templated transcription	BP	2.82144110029423e-10	1
GO:0010629	5.12385003980006e-13	1	542	1189	negative regulation of gene expression	BP	2.82144110029423e-10	1
GO:0032502	7.54495286716712e-13	1	1792	4446	developmental process	BP	4.04528604514902e-10	1
