category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p.adjust.over_represented	p.adjust.under_represented
GO:0044212	4.07519374054479e-06	0.999999338407671	13	582	transcription regulatory region DNA binding	MF	0.0279303295826605	1
GO:0000975	4.22559628387712e-06	0.999999311587679	13	584	regulatory region DNA binding	MF	0.0279303295826605	1
GO:0001067	4.31689792622264e-06	0.999999295263112	13	585	regulatory region nucleic acid binding	MF	0.0279303295826605	1
GO:0000982	1.22364274363602e-05	0.999998751182254	8	217	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	MF	0.0593772641349379	1
GO:0045577	2.98989310958368e-05	0.999999655750878	3	13	regulation of B cell differentiation	BP	0.116067650514038	1
GO:0000981	0.000139129830061791	0.999976883579522	9	397	RNA polymerase II transcription factor activity, sequence-specific DNA binding	MF	0.389131478809505	1
GO:0048519	0.00016031922599615	0.999945465676627	28	3111	negative regulation of biological process	BP	0.389131478809505	1
GO:0050864	0.000160383917077591	0.999992359408932	4	57	regulation of B cell activation	BP	0.389131478809505	1
GO:0010604	0.000216356757717754	0.999931192203179	21	1998	positive regulation of macromolecule metabolic process	BP	0.427459092217006	1
GO:0003690	0.000345347044922472	0.999928255845738	10	558	double-stranded DNA binding	MF	0.427459092217006	1
GO:0048534	0.0003860629277979	0.99992608800207	9	465	hematopoietic or lymphoid organ development	BP	0.427459092217006	1
GO:0000976	0.000406927932450346	0.999921528790452	9	458	transcription regulatory region sequence-specific DNA binding	MF	0.427459092217006	1
GO:0010629	0.000409570270603559	0.999888238478472	14	1066	negative regulation of gene expression	BP	0.427459092217006	1
GO:0009893	0.000421730495645225	0.999858304658133	21	2095	positive regulation of metabolic process	BP	0.427459092217006	1
GO:0048523	0.000425926369599796	0.999846896322721	26	2924	negative regulation of cellular process	BP	0.427459092217006	1
GO:0044707	0.000433191400665791	0.999840119005049	30	3617	single-multicellular organism process	BP	0.427459092217006	1
GO:0042981	0.000476860954371966	0.999873927316603	13	974	regulation of apoptotic process	BP	0.427459092217006	1
GO:0048518	0.000512842902892184	0.999809166053409	29	3491	positive regulation of biological process	BP	0.427459092217006	1
GO:0043067	0.000528539157463555	0.999858663398025	13	985	regulation of programmed cell death	BP	0.427459092217006	1
GO:0071222	0.000543892372847927	0.999963728329391	4	81	cellular response to lipopolysaccharide	BP	0.427459092217006	1
GO:0001078	0.000546352876308061	0.999963626944465	4	74	transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding	MF	0.427459092217006	1
GO:0002520	0.000599024559405982	0.999877941678388	9	495	immune system development	BP	0.427459092217006	1
GO:0050871	0.000620149933444074	0.999977412846363	3	35	positive regulation of B cell activation	BP	0.427459092217006	1
GO:1990837	0.000634954404631291	0.999869559431722	9	489	sequence-specific double-stranded DNA binding	MF	0.427459092217006	1
GO:0045579	0.000646456699321118	0.999993884921815	2	8	positive regulation of B cell differentiation	BP	0.427459092217006	1
GO:0071219	0.00064781707816707	0.999954663480733	4	85	cellular response to molecule of bacterial origin	BP	0.427459092217006	1
GO:0001071	0.000666969903272157	0.999826553395398	12	835	nucleic acid binding transcription factor activity	MF	0.427459092217006	1
GO:0003700	0.000666969903272157	0.999826553395398	12	835	transcription factor activity, sequence-specific DNA binding	MF	0.427459092217006	1
GO:0033993	0.00069020600313769	0.99985646509644	9	511	response to lipid	BP	0.427459092217006	1
GO:0001077	0.000691845073348639	0.999928131511182	5	142	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	MF	0.427459092217006	1
GO:0032501	0.00069629442561815	0.999733166394756	31	3903	multicellular organismal process	BP	0.427459092217006	1
GO:0000977	0.00073490695877299	0.999861984442985	8	398	RNA polymerase II regulatory region sequence-specific DNA binding	MF	0.427459092217006	1
GO:0080090	0.000736956191480072	0.999715989963826	32	4132	regulation of primary metabolic process	BP	0.427459092217006	1
GO:0001012	0.000748769146593417	0.999858968919419	8	399	RNA polymerase II regulatory region DNA binding	MF	0.427459092217006	1
GO:0048522	0.000771710458817739	0.999707283758609	27	3206	positive regulation of cellular process	BP	0.427968571590066	1
GO:0007275	0.000881351975252528	0.999664773330871	26	3021	multicellular organism development	BP	0.46061921355832	1
GO:0071396	0.000937297787415049	0.999840379703439	7	323	cellular response to lipid	BP	0.46061921355832	1
GO:0009966	0.000964391230830065	0.999665133243317	19	1885	regulation of signal transduction	BP	0.46061921355832	1
GO:0010941	0.000978795964290445	0.999719476006813	13	1051	regulation of cell death	BP	0.46061921355832	1
GO:0032496	0.000992632460951732	0.999887945389117	5	162	response to lipopolysaccharide	BP	0.46061921355832	1
GO:2001244	0.000995195280252524	0.999956719857561	3	45	positive regulation of intrinsic apoptotic signaling pathway	BP	0.46061921355832	1
GO:0051239	0.000996703089616149	0.999669238507766	17	1582	regulation of multicellular organismal process	BP	0.46061921355832	1
GO:0031326	0.00112935216674364	0.999561830947087	26	3086	regulation of cellular biosynthetic process	BP	0.503660911412566	1
GO:0006366	0.00117233746694311	0.999615870432776	16	1459	transcription from RNA polymerase II promoter	BP	0.503660911412566	1
GO:0031327	0.00117251482292687	0.999656973255866	13	1042	negative regulation of cellular biosynthetic process	BP	0.503660911412566	1
GO:0045892	0.00121876602479876	0.99967877530756	11	788	negative regulation of transcription, DNA-templated	BP	0.503660911412566	1
GO:0023051	0.00128073383378425	0.999534506944436	20	2084	regulation of signaling	BP	0.503660911412566	1
GO:0002237	0.00128509980598466	0.99984609716561	5	171	response to molecule of bacterial origin	BP	0.503660911412566	1
GO:1900103	0.00129462986467457	0.999981115603291	2	12	positive regulation of endoplasmic reticulum unfolded protein response	BP	0.503660911412566	1
GO:0009889	0.00131723403567631	0.999482519664697	26	3118	regulation of biosynthetic process	BP	0.503660911412566	1
GO:1902531	0.0013482999032439	0.999581728991594	14	1190	regulation of intracellular signal transduction	BP	0.503660911412566	1
GO:0009890	0.00134932341027581	0.99959878849504	13	1059	negative regulation of biosynthetic process	BP	0.503660911412566	1
GO:0031325	0.00138050331506124	0.999504400156014	19	1960	positive regulation of cellular metabolic process	BP	0.505576780100728	1
GO:0071216	0.00143506896374477	0.999874876958578	4	103	cellular response to biotic stimulus	BP	0.506955083949278	1
GO:0002070	0.00143650332906802	0.999977909970233	2	12	epithelial cell maturation	BP	0.506955083949278	1
GO:0006355	0.00153095953964932	0.999408721729183	23	2609	regulation of transcription, DNA-templated	BP	0.525354385779666	1
GO:1903507	0.00162864518278044	0.999554373755049	11	818	negative regulation of nucleic acid-templated transcription	BP	0.525354385779666	1
GO:0071479	0.0016779584943966	0.999911965713803	3	51	cellular response to ionizing radiation	BP	0.525354385779666	1
GO:1903506	0.00168916917458203	0.999342035875977	23	2628	regulation of nucleic acid-templated transcription	BP	0.525354385779666	1
GO:0045595	0.00170042204459484	0.999504978477784	12	938	regulation of cell differentiation	BP	0.525354385779666	1
GO:0010468	0.00170767003933417	0.999314667493237	26	3173	regulation of gene expression	BP	0.525354385779666	1
GO:0048608	0.00174656894863411	0.999718525630742	6	264	reproductive structure development	BP	0.525354385779666	1
GO:2001141	0.00176762264613843	0.999308748240398	23	2640	regulation of RNA biosynthetic process	BP	0.525354385779666	1
GO:1902679	0.00179328110336474	0.99950313108467	11	828	negative regulation of RNA biosynthetic process	BP	0.525354385779666	1
GO:2000113	0.0017954340278877	0.999473768332932	12	956	negative regulation of cellular macromolecule biosynthetic process	BP	0.525354385779666	1
GO:0007265	0.00181521521404788	0.999705336385142	6	255	Ras protein signal transduction	BP	0.525354385779666	1
GO:0010556	0.00181964317553515	0.999271805748306	25	3001	regulation of macromolecule biosynthetic process	BP	0.525354385779666	1
GO:0061458	0.00184049965136616	0.999700250423756	6	267	reproductive system development	BP	0.525354385779666	1
GO:0006915	0.00197983621721318	0.999358734337773	14	1277	apoptotic process	BP	0.556936535885621	1
GO:0070887	0.00204598246817297	0.999270540952489	17	1724	cellular response to chemical stimulus	BP	0.560319731039883	1
GO:0043565	0.0020495981918512	0.999458842132935	10	697	sequence-specific DNA binding	MF	0.560319731039883	1
GO:0043583	0.00210218329220028	0.99979618443682	4	111	ear development	BP	0.566713579188992	1
GO:0031323	0.00214784302313433	0.999102406812126	31	4172	regulation of cellular metabolic process	BP	0.567010762325127	1
GO:0012501	0.0022556968038315	0.999258475379999	14	1295	programmed cell death	BP	0.567010762325127	1
GO:0050794	0.00227248363177012	0.999116581977104	43	6700	regulation of cellular process	BP	0.567010762325127	1
GO:0010557	0.00228624380939733	0.999276742895373	13	1119	positive regulation of macromolecule biosynthetic process	BP	0.567010762325127	1
GO:0060255	0.0023512171320968	0.99901024931071	31	4191	regulation of macromolecule metabolic process	BP	0.567010762325127	1
GO:0060345	0.00242600405333295	1	1	1	spleen trabecula formation	BP	0.567010762325127	1
GO:0097689	0.00242600405333295	1	1	1	iron channel activity	MF	0.567010762325127	1
GO:1903414	0.00242600405333295	1	1	1	iron cation export	BP	0.567010762325127	1
GO:1903988	0.00242600405333295	1	1	1	ferrous iron export	BP	0.567010762325127	1
GO:0019222	0.00243676906467839	0.998970473629346	32	4397	regulation of metabolic process	BP	0.567010762325127	1
GO:2001242	0.00246294097746273	0.999749956888285	4	125	regulation of intrinsic apoptotic signaling pathway	BP	0.567010762325127	1
GO:0003006	0.00247593264171048	0.99949896136712	7	384	developmental process involved in reproduction	BP	0.567010762325127	1
GO:0010212	0.00248304558462833	0.999747548117287	4	120	response to ionizing radiation	BP	0.567010762325127	1
