pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
GLI1_UP.V1_DN	0.249621785173979	0.329919702083091	0.518110357919852	1.20811016183925	164	25	ZMYND11, RNF10, RUNX1, TMEM62, TMEM181, OPN3, ACSL6, BBX, SPECC1, ARPC2, SELM
GLI1_UP.V1_UP	0.0375375375375375	0.0921375921375921	0.665922859188347	1.54696310640029	24	23	LMO7, ZBTB16, FEM1A, SAR1A, ZC3H18, TMOD3, TRIM23, WEE1
E2F1_UP.V1_DN	0.00337837837837838	0.0237825594563986	0.524538850722546	1.57770600131992	2	165	ZC3H12A, ST3GAL4, ARL4D, BAG3, SGK1, STOM, CYP1B1, ACOX1, SASH1, SEMA4B, RAP2B, BCL6, MYC, F3, LRIG1, SDPR, NOTCH2, WDR26, GADD45A, STAT3, LIMA1, AVPI1, IL6ST, MCL1, TRAF3IP2, SNAI1, CAPN2, SNAPC3, ENTPD6, PLIN2, SERAC1, PPP3CA, PTGS1, C18orf8, APBB2, GHR, SLC1A1, WDFY2, SLC35E4, ADARB1, SLC6A8, ABLIM1
E2F1_UP.V1_UP	0.0289210233592881	0.0823529411764706	0.459798178937269	1.38775839238836	25	176	DLX1, VPS37B, HMGB3, ITSN1, USP10, GATA6, KPNA3, VEGFA, MAP3K3, CDK5R1, PARP1, CRYZ, TPD52, EVL, WBP11, RBM15, ZFPM1, SDCCAG3, DDB1, SLC20A1, CAD, IVNS1ABP, SLBP, SOCS2, STIL, NOLC1, RRP1B, UCK2, E2F3, TLE4, NBL1, PIGA, USP39, SLC7A1, LARP4B, PSME3, SPEF1, PAIP2B, CASP7, PARP16, MAPK14, GRWD1, PTPN21, KPNA1, TRNT1, MTSS1L, GRSF1, DDX46, UBN1, NOP56, ARHGAP8, CSTF2
EGFR_UP.V1_DN	0.00451467268623025	0.0302775441547519	0.516367340955044	1.5509088605194	3	171	TSC22D3, NET1, MAFB, PRR15L, GRB10, TSPAN5, IGF1R, ADD3, EFHD1, IRS1, PDCD4, CASP6, ARL4A, ELOVL5, C9orf3, SPTBN1, CTSH, GREB1, BDKRB2, ID2, CBFA2T3, TRIM24, SGK3, C18orf8, APBB2, KIAA1324, STIL, DLC1, TTC39A, CDKN2AIP, SLC1A1, RASGRP1, ABLIM1, POLI, SSFA2
EGFR_UP.V1_UP	0.00111111111111111	0.0121951219512195	0.598514081194347	1.80718357535172	0	177	RCAN1, TNFRSF21, KLF4, CEBPD, CYR61, ELL2, S100P, SAT1, EXT1, CYP1B1, ATF3, EGLN3, SAMD4A, IL4R, ENPP1, SQRDL, HK2, TNS3, SOD2, TBC1D8, LHFPL2, F2RL1, FHOD1, CTGF, DUSP6, P2RY6, MBNL2, SNAPC1, LRP8, RGS16, EGFR, HOMER1, LIF, CAPN2, CBLB, ETS2, FNDC3B, CXADR, FERMT2, GRAMD3, ZNF281, SLC4A7, SGMS1, BACE2, MGLL, COTL1, SOCS2, WIPI1, ADM, MIR22HG, HSPA2, LPAR6, PMAIP1, RNF19A, GK, PIGA
ERB2_UP.V1_DN	0.00779510022271715	0.0394736842105263	0.499147570066425	1.50861149975437	6	179	KANK1, IGF1R, ADD3, MYC, LRIG1, IRS1, KCTD3, RAB31, CASP6, FLNB, MYBL1, ZBTB10, JAK2, C9orf3, WDR43, MBNL2, GREB1, ID2, SLC26A2, PRKAR2B, NOC3L, GNL2, PUS1, TAF1D, C18orf8, STIL, DLC1, TTC39A, PLA2G12A, FHL2, RASGRP1, ZBTB11, PAK1IP1, ABLIM1, PMAIP1, C1orf109, POLI, NAA15, SSFA2, LIN7C, EHBP1, UBA6, MED17, IFIT5, RIF1, ARHGAP29, CEBPZ, CHD1, ANXA3, BTG3, MTIF2, CALB2, RPRD1A, HERC6, NCAPG, LTN1, MRPL19, ADAM9, RALGAPA1, RNF138, ACTR6, PRMT3, ATR, EIF2S3, SSB, ZNF430, AASDHPPT, USP16, CBR4, RAD51AP1, TRMT61B, CUL5, FKTN, NOL8, ZNF267
ERB2_UP.V1_UP	0.00333704115684093	0.0237825594563986	0.522788045639792	1.57945294383086	2	178	NDRG1, TNFRSF21, P4HA2, S100P, SAT1, CLMN, CREB3L2, CYP1B1, BCL6, EGLN3, CHST11, SLC6A6, KIAA0513, VIPR1, FAM174B, CDS2, TBC1D8, CAST, VASP, CNOT8, KMO, KCNMA1, SLC2A10, DUSP6, SOX9, AQP3, BNIP3L, CAPN2, MAPRE3, CXADR, GRAMD3, PACSIN3, CXCR4, ST6GALNAC2, RAB5C, C1orf115, BACE2, MPI, PCDH1, WIPI1, HSPA2, FAM46C, MXRA7, PTGER4, FMO5, VTCN1, UROS, SERHL, OPN3, SPAG4, GAMT
GCNP_SHH_UP_EARLY.V1_DN	0.00769230769230769	0.0394736842105263	-0.39066450762972	-1.47702776533911	0	138	PCBD2, CRYGS, CFB, CCL2, CAMLG, LSR, HIST2H2BE, DPPA4, SH3BGR, LTBP3, CCR2, LCP1, POLD4, CRABP2, PTGER3, SETDB1, MAF, IRF3, SIX4, ELMOD3, MAP3K12, CITED2, HOXB3, NLRX1, CPT1A, DBP, MST1R, HES1, IER2, IL1R1, UBTF, NOTCH1, PLK2, FOXA1
GCNP_SHH_UP_EARLY.V1_UP	0.210645526613817	0.303908431526804	0.389794131854694	1.16491951938407	185	154	MAN1A1, STAT5A, TMPRSS2, IRF6, SEC62, EPB41L4B, PDS5B, ATL2, STAG2, DNAJC3, PPP1CB, ZNF281, ABCB10, SRSF1, RNF103, AZIN1, E2F3, PHTF2, PUM2, SHC1, ARL5A, MATR3, GNL3, RHPN2, CCNJ, AFF4, MAPK14, OXNAD1, FIP1L1, RC3H2, INTS7, KIF1A, RLIM, NVL, MRE11A, ARHGAP8, RYK, FOSL1, CLIP4, CNOT2, FBXO45, DHODH, TBP, GTF2H1
