pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
GLI1_UP.V1_DN	0.244377811094453	0.335843474752908	0.520959755942502	1.2040571013404	162	25	ZMYND11, RNF10, TMEM181, OPN3, TMEM62, RUNX1, ACSL6, BBX, ARPC2, SPECC1, SELM
GLI1_UP.V1_UP	0.0154798761609907	0.0487616099071207	0.704377258931242	1.60029351650136	9	23	LMO7, ZBTB16, FEM1A, ZC3H18, IGFBP6, SAR1A, TMOD3, CSGALNACT1, WEE1
E2F1_UP.V1_DN	0.00455062571103527	0.025296125276049	0.507666775982313	1.51432508638285	3	165	ZC3H12A, ST3GAL4, ARL4D, BAG3, STOM, SGK1, CYP1B1, RAP2B, ACOX1, SEMA4B, MYC, GADD45A, F3, SDPR, BCL6, SASH1, LRIG1, NOTCH2, AVPI1, WDR26, STAT3, LIMA1, IL6ST, MCL1, SNAI1, PLIN2, TRAF3IP2, ENTPD6, SNAPC3, CAPN2, SERAC1, PTGS1, ADARB1, APBB2, PPP3CA, PHLDA1, GHR, SLC6A8, WDFY2, C3, SLC35E4, PPTC7, NPR1
E2F1_UP.V1_UP	0.0303030303030303	0.0784557907845579	0.455135509256308	1.36628658385811	26	176	DLX1, VPS37B, HMGB3, ITSN1, USP10, KPNA3, MAP3K3, VEGFA, CDK5R1, GATA6, ZFPM1, TPD52, SDCCAG3, EVL, CRYZ, PARP1, CAD, RBM15, SLBP, WBP11, UCK2, IVNS1ABP, E2F3, DDB1, GRWD1, SLC20A1, NOLC1, LARP4B, STIL, SOCS2, NBL1, TLE4, USP39, SPEF1, TRNT1, RRP1B, SLC7A1, MTSS1L, PARP16, PSME3, MAPK14, PAIP2B
EGFR_UP.V1_DN	0.00898876404494382	0.037752808988764	0.486140367512311	1.45420445827967	7	171	TSC22D3, NET1, MAFB, PRR15L, GRB10, TSPAN5, IGF1R, ADD3, EFHD1, PDCD4, IRS1, CASP6, ARL4A, C9orf3, CTSH, ELOVL5, BDKRB2, ID2, SPTBN1, GREB1, CBFA2T3, TRIM24, RASGRP1, APBB2, SGK3, STIL, POLI, TTC39A, SSFA2, KIAA1324, MEX3D, CLK4, ABLIM1, LLGL2, SLC27A2, CALB2, CDKN2AIP
EGFR_UP.V1_UP	0.00112359550561798	0.0104767184035477	0.590290964316871	1.77185185164235	0	177	RCAN1, TNFRSF21, KLF4, ELL2, CEBPD, CYR61, S100P, SAT1, CYP1B1, EXT1, ATF3, EGLN3, SOD2, SAMD4A, SQRDL, IL4R, ENPP1, HK2, F2RL1, TBC1D8, LHFPL2, RGS16, TNS3, SNAPC1, FHOD1, P2RY6, LRP8, MBNL2, CTGF, DUSP6, CBLB, ETS2, LIF, CAPN2, EGFR, FNDC3B, HOMER1, GRAMD3, FERMT2, HSPA2, ADM, SLC4A7, CXADR, ZNF281, PHLDA1, BACE2, SGMS1, LPAR6, MGLL, SOCS2, COTL1, MIR22HG, NFIL3, WIPI1, RNF19A, GBP1, GK, PMAIP1, CMAHP, IDO1, CYP27B1
ERB2_UP.V1_DN	0.0202702702702703	0.0587235442482728	0.466787496975227	1.39911126866051	17	179	KANK1, IGF1R, MYC, ADD3, LRIG1, IRS1, CASP6, JAK2, C9orf3, KCTD3, RAB31, WDR43, FLNB, MYBL1, ZBTB10, MBNL2, ID2, GREB1, PUS1, TAF1D, PRKAR2B, SLC26A2, NOC3L, PAK1IP1, GNL2, RASGRP1, C1orf109, PLA2G12A, MED17, ZBTB11, STIL, LIN7C, POLI, TTC39A, FHL2, ARHGAP29, SSFA2, RIF1, CCDC59, PMAIP1, ABLIM1, MTIF2, CALB2, ANXA3, CEBPZ, NAA15, EHBP1, DLC1, C18orf8, IFIT5, UBA6, MRPL19, CHD1, HIRA, ATR, SSB, ACTR6, ZNF430, HERC6, MAD2L1, TRMT61B, NOL8, RNF138
ERB2_UP.V1_UP	0.00224466891133558	0.0163353500432152	0.530218595534738	1.59194956187326	1	178	NDRG1, TNFRSF21, P4HA2, S100P, SAT1, CLMN, CREB3L2, CYP1B1, EGLN3, SLC6A6, BCL6, CHST11, KIAA0513, FAM174B, VASP, KMO, TBC1D8, SLC2A10, SOX9, CDS2, CNOT8, VIPR1, CAST, MAPRE3, KCNMA1, AQP3, DUSP6, BNIP3L, CXCR4, ST6GALNAC2, CAPN2, GRAMD3, C1orf115, PACSIN3, HSPA2, RAB5C, CXADR, MXRA7, BACE2, PCDH1, MPI, SPAG4
GCNP_SHH_UP_EARLY.V1_DN	0.0124223602484472	0.04375	-0.404027539575179	-1.49273373965035	1	138	CCL2, LAMB3, LTBP3, CRYGS, CFB, CAMLG, CCR2, LCP1, CRABP2, SETDB1, POLD4, IRF3, HIST2H2BE, MAF, MAP3K12, SIX4, HOXB3, ELMOD3, PTGER3, CITED2, NLRX1, DBP, MST1R, CPT1A, HES1, IER2, IL1R1, NOTCH1, UBTF, PLK2, FOXA1
GCNP_SHH_UP_EARLY.V1_UP	0.380675203725262	0.444121071012806	0.354715024953322	1.04935834594192	326	154	STAT5A, MAN1A1, IRF6, EPB41L4B, SEC62, TMPRSS2, DNAJC3, PDS5B, PPP1CB, ATL2, STAG2, RNF103, ABCB10, ZNF281, E2F3, GNL3, SHC1, SRSF1, MATR3, AZIN1, PUM2, PHTF2, CCNJ, MAPK14, RHPN2, FIP1L1, ARL5A, MRPL50
GCNP_SHH_UP_LATE.V1_DN	0.155813953488372	0.257434733257662	0.407411124841045	1.20634328586968	133	153	WWC1, SLC2A1, SAT1, GNPTAB, ACVR1, GJB6, IL4R, ENPP1, UBE3C, EPB41L4B, PTPRJ, ADRB2, EEPD1, CDCP1, EPHB6, EIF4ENIF1, PIP5K1A, PUS1, ACOT1, ADCY9, PTPN18, MUC3A, S100A11, GPR3, LYSMD1, VEGFC, FAM111A, WNK2, ANXA7, MRPL3, UBE2V2, PDCD7, DHODH, MEF2A, ITGAE, HYOU1, PTGER4
GCNP_SHH_UP_LATE.V1_UP	0.2423900789177	0.335843474752908	0.38104918437311	1.13903951374063	214	167	MPHOSPH10, SQRDL, CREM, SACM1L, DNM1L, DIDO1, HNRNPU-AS1, ZNF644, PSME4, PLEKHA7, CLCN5, NPTX1, IVNS1ABP, ZNF281, TARDBP, CLIC4, GNL3, DDX3X, ZNF638, SOCS2, ABCE1, CASD1, HIGD1A, NR5A2, MBD2, SRSF1, USP39, TIMM8A, MRTO4, MATR3, PHTF2, LLGL2, IDH2, TRIP13, NAA15, ARL5A, CDC25A, EIF3A, YTHDF3, GART, NAA30, NOP56, TMOD3, RYK, ZFX, MAP3K7, MAGOH, NPM1, CYP4B1
RAPA_EARLY_UP.V1_DN	0.00679501698754247	0.0298664700150122	0.49720129386464	1.48467595287448	5	162	GLUL, CBX4, PISD, ABTB2, CRY2, KDM4B, ESRRA, LRIG1, MID1, MFSD7, GDPD5, CACNB4, ITPKC, FAM49A, SOS1, IGFBP3, PRKCE, TRIM22, TNN, PTGS1, INPP5J, ZNF799, WFS1
