pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
GLI1_UP.V1_DN	0.916211293260474	0.955631708263287	0.200889881269921	0.661541757822353	502	25	LIN37, YIPF1, RNF10, TMEM189, FOLR1, OPN3, TMEM181, RSAD2, CCNL2, SEPT9
GLI1_UP.V1_UP	0.304659498207885	0.50509337860781	0.344765227843705	1.11925932088053	169	23	ZBTB16, IGFBP6, TXNDC12, CSGALNACT1, SGTA, FEM1A
E2F1_UP.V1_DN	0.193298969072165	0.376634073759167	-0.226751593657542	-1.1235933153496	74	165	POU5F1, SLC35E4, ITPR2, STAT6, ATP2A3, CALML4, FER, USP19, NDRG4, GHR, ANXA4, TGFB1I1, NUMA1, LXN, PLA2G4A, ABLIM1, SERTAD1, DOK1, SCAMP1, STAT3, APC2, IL1R1, PDE4DIP, PPP3CA, LIMA1, FAS, TANK, WDR26, MCL1, DTX2, SASH1, ANXA1, DAB2, NFKBIZ, RTKN, ZBTB20, HMGCS1, SEC23A, XPR1, SLC11A2, SIX5, ERBB3, SLC1A1, GFRA1, LCLAT1, RASA3, CPT1A, C18orf8, CCNG2, PLK2, XBP1
E2F1_UP.V1_UP	0.354430379746835	0.527459384032692	-0.206935370885584	-1.03486728859558	139	176	KIFC1, E2F8, PLK4, MED20, RB1, RDH13, DDX46, PHF12, TBP, PARP1, RHBDL3, MCM10, RRP1B, PACS1, UBN1, ARF3, RELL1, ERMP1, RBM15, PBX3, VPRBP, DDB1, CDV3, SLC20A1, PITPNM1, USP10, PTPN21, PIGA, ADCY6, SMC2, DNAJC21, KPNA1, KIF2A, WDHD1, FANCM, BRCA2, WBP11, CDR2L, HES1, TOP2A, DLGAP5, GATA6, TINF2, UBR2, CHEK1, BUB1, LMNB1, FNBP1
EGFR_UP.V1_DN	0.0199004975124378	0.104477611940299	-0.279267685857236	-1.39751065650465	7	171	BAZ2B, ENPP4, XK, HIST1H2BD, CPE, HSPA4L, EPB41L2, E2F8, ZNF107, SYCP2, LTBP1, C16orf45, DMXL2, SPTBN1, NCAPG2, EIF2S3, TTC39A, RHOBTB3, ABLIM1, AGL, LTN1, INPP5F, BRIP1, SGK3, DEPDC1, CADM1, NUP205, KRIT1, TBL1XR1, KIF11, PCYOX1, KIAA1324, PSPH, TMEM106B, FTO, CELSR2, SGCB, GALC, SLC39A8, RNF43, BTG3, PHF20, CDKN2AIP, ANK3, MPDZ, NRIP1, DLC1, CYP26B1, PGR, DNAJC12, COL9A3, PEG10, ARMCX1, SLC1A1, GFRA1, ELF5, ID1, ATF7IP, C18orf8
EGFR_UP.V1_UP	0.0429042904290429	0.168935643564356	0.272705750059876	1.29911252134435	25	177	ELL2, CEBPD, S100P, RGS16, SOD2, TNFRSF21, F2RL1, PHLDA1, HSPA2, ADM, RCAN1, BMP7, DUSP4, EGLN3, LHFPL2, CYP1B1, NFIL3, CEACAM6, ISG20, SNAPC1, TUBB2A, CMAHP, FADS3, KLF4, MAOA, TFPI, CYR61, CSGALNACT1, TNFAIP8, SLC12A2, ATF3, ETS2, CBLB
ERB2_UP.V1_DN	0.00255102040816327	0.0325581395348837	-0.39559717924031	-1.98171305351951	0	179	XK, IRF7, CHD1, EHBP1, RAD54B, HSPA4L, PLK4, PMAIP1, FHL2, ZNF107, SMARCA5, C16orf45, DNAJB14, OAS1, IFIT5, EIF2S3, LAMB1, TTC39A, NAA15, TMED5, ADAM9, RHOBTB3, SS18, ABLIM1, NCAPG, AGL, LTN1, TFPI2, INPP5F, RAB31, AASDHPPT, SLC26A2, RECQL, DEPDC1, UBA6, RMI1, RANBP6, RAD51AP1, GOLGA4, RPAP3, OAS2, MARCH7, IFT57, CUL5, FLNB, TOPBP1, LPGAT1, NPEPPS, IFIT1, PSPH, KANK1, HSPA13, MSH2, PRMT3, MYBL1, BTG3, RALGAPA1, TTK, MPDZ, ECT2, USP16, TAF2, ATP8B1, RPRD1A, NRIP1, DLC1, ZBTB10, CYP26B1, ERI2, FKTN, COL9A3, PEG10, RRN3, ARMCX1, GFRA1, MAP4K3, C18orf8
ERB2_UP.V1_UP	0.396411092985318	0.559644670050761	0.214093674233002	1.02267447670871	242	178	S100P, TNFRSF21, MAPRE3, SLC6A6, P4HA2, SOX9, SLC2A10, HSPA2, KMO, CXCR4, ACHE, DUSP4, EGLN3, CYP1B1, CRLF1, SPAG4, CEACAM6, ST6GALNAC2, MAOA, C1orf115, NME4, NDRG1, CSGALNACT1, KIAA0513, MXRA7, SLC12A2, GDPD3
GCNP_SHH_UP_EARLY.V1_DN	0.00490196078431373	0.0451505016722408	-0.322446919528099	-1.55617300367103	1	138	GRIN1, UBTF, IL1R1, CBX1, LRRC57, BTC, DDB1, LAMB3, IER2, MIPOL1, EMP1, PEPD, ASPH, PTGER3, TIRAP, FAM208A, NLRX1, HIST2H2BE, TMPO, NUB1, KIAA1217, LRRC23, AIM1, HES1, PHLDB2, HAS2, CITED2, LCLAT1, ZNF518B, CPT1A, AMOTL2, PLK2, FOXA1
GCNP_SHH_UP_EARLY.V1_UP	0.00248756218905473	0.0325581395348837	-0.32944356857716	-1.62149418629187	0	154	LUC7L3, KIFC1, E2F8, MRE11A, SRSF1, ZNF281, AZIN1, TBP, SLC23A2, RBBP6, ARL5A, MCM10, PHTF2, NCAM2, TIA1, KIF4A, XPO1, LBR, VPRBP, AFF4, INTS7, RIMKLB, NEK9, RC3H2, TOP2B, KIF1B, DHFR, ATL2, TNPO1, ADCY6, KBTBD7, SMC2, MSH6, KIF1A, IRF5, OXNAD1, AURKA, GGPS1, SRSF10, CLIP4, MPDZ, TOP2A, STAG2, TINF2, CHEK1, ANLN, RLIM, LATS1, TMPRSS2, CD55, OXSM
