"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","chrom","strand","left","right","symbol","name","location"
"ENSG00000069812",94.381,0.486,0.072,6.727,0,0,"1","-",6472477,6484730,"HES2","hes family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:16005]","1:6472477-6484730"
"ENSG00000116285",1130.378,0.353,0.074,4.777,0,0,"1","-",8064463,8086343,"ERRFI1","ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]","1:8064463-8086343"
"ENSG00000171621",262.311,0.209,0.053,3.917,0,0.005,"1","+",9352938,9429591,"SPSB1","splA/ryanodine receptor domain and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:30628]","1:9352938-9429591"
"ENSG00000117298",928.563,0.278,0.055,5.069,0,0,"1","-",21543739,21671997,"ECE1","endothelin converting enzyme 1 [Source:HGNC Symbol;Acc:HGNC:3146]","1:21543739-21671997"
"ENSG00000204178",439.992,0.245,0.045,5.46,0,0,"1","+",25757387,25826700,"TMEM57","transmembrane protein 57 [Source:HGNC Symbol;Acc:HGNC:25572]","1:25757387-25826700"
"ENSG00000157978",367.597,0.188,0.046,4.092,0,0.003,"1","+",25870070,25895377,"LDLRAP1","low density lipoprotein receptor adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:18640]","1:25870070-25895377"
"ENSG00000158246",140.463,0.31,0.072,4.33,0,0.001,"1","-",27331510,27339327,"FAM46B","family with sequence similarity 46 member B [Source:HGNC Symbol;Acc:HGNC:28273]","1:27331510-27339327"
"ENSG00000163874",282.594,0.648,0.065,9.996,0,0,"1","+",37940152,37949980,"ZC3H12A","zinc finger CCCH-type containing 12A [Source:HGNC Symbol;Acc:HGNC:26259]","1:37940152-37949980"
"ENSG00000163875",708.967,0.391,0.069,5.638,0,0,"1","-",37958175,37980364,"MEAF6","MYST/Esa1-associated factor 6 [Source:HGNC Symbol;Acc:HGNC:25674]","1:37958175-37980364"
"ENSG00000163877",358.189,0.326,0.053,6.138,0,0,"1","-",38000049,38019903,"SNIP1","Smad nuclear interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:30587]","1:38000049-38019903"
"ENSG00000183386",43.194,0.268,0.077,3.475,0.001,0.023,"1","-",38462441,38471174,"FHL3","four and a half LIM domains 3 [Source:HGNC Symbol;Acc:HGNC:3704]","1:38462441-38471174"
"ENSG00000117461",1303.365,-0.23,0.058,-3.962,0,0.004,"1","-",46505811,46598314,"PIK3R3","phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]","1:46505811-46598314"
"ENSG00000177606",671.179,0.213,0.052,4.093,0,0.003,"1","-",59246464,59249785,"JUN","jun proto-oncogene [Source:HGNC Symbol;Acc:HGNC:6204]","1:59246464-59249785"
"ENSG00000162433",339.623,0.245,0.067,3.682,0,0.012,"1","+",65613231,65691775,"AK4","adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]","1:65613231-65691775"
"ENSG00000050628",133.979,-0.262,0.068,-3.849,0,0.007,"1","-",71318035,71513471,"PTGER3","prostaglandin E receptor 3 [Source:HGNC Symbol;Acc:HGNC:9595]","1:71318035-71513471"
"ENSG00000079335",238.539,0.314,0.064,4.887,0,0,"1","+",100810583,100965021,"CDC14A","cell division cycle 14A [Source:HGNC Symbol;Acc:HGNC:1718]","1:100810583-100965021"
"ENSG00000228086",16.811,0.322,0.074,4.321,0,0.001,"1","-",100927954,100951553,"RP5-837M10.4","","1:100927954-100951553"
"ENSG00000134215",681.895,-0.226,0.049,-4.566,0,0,"1","-",108113781,108507766,"VAV3","vav guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:12659]","1:108113781-108507766"
"ENSG00000196427",131.872,0.232,0.069,3.343,0.001,0.035,"1","-",108765962,108786689,"NBPF4","neuroblastoma breakpoint family member 4 [Source:HGNC Symbol;Acc:HGNC:26550]","1:108765962-108786689"
"ENSG00000121957",1232.256,0.177,0.049,3.588,0,0.016,"1","+",109417971,109477167,"GPSM2","G-protein signaling modulator 2 [Source:HGNC Symbol;Acc:HGNC:29501]","1:109417971-109477167"
"ENSG00000163399",13825.166,0.235,0.039,6.029,0,0,"1","+",116915289,116930777,"ATP1A1","ATPase, Na+/K+ transporting, alpha 1 polypeptide [Source:HGNC Symbol;Acc:HGNC:799]","1:116915289-116930777"
"ENSG00000269279",726.47,0.235,0.054,4.366,0,0.001,"1","-",116915889,116926718,NA,NA,"1:116915889-116926718"
