"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","chrom","strand","left","right","symbol","name","location"
"ENSG00000231709",2.239,0.83,0.266,3.125,0.002,0.009,"1","-",521368,523833,NA,NA,"1:521368-523833"
"ENSG00000228794",66.503,-0.376,0.1,-3.774,0,0.001,"1","+",762987,794826,"LINC01128","long intergenic non-protein coding RNA 1128 [Source:HGNC Symbol;Acc:HGNC:49377]","1:762987-794826"
"ENSG00000223764",314.785,-0.411,0.065,-6.339,0,0,"1","-",852244,856396,"RP11-54O7.3","","1:852244-856396"
"ENSG00000187634",244.478,-0.464,0.084,-5.515,0,0,"1","+",860259,874671,"SAMD11","sterile alpha motif domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28706]","1:860259-874671"
"ENSG00000268179",19.225,-0.587,0.165,-3.551,0,0.002,"1","-",861263,866445,NA,NA,"1:861263-866445"
"ENSG00000187961",203.077,-0.417,0.089,-4.699,0,0,"1","+",895966,901095,"KLHL17","kelch like family member 17 [Source:HGNC Symbol;Acc:HGNC:24023]","1:895966-901095"
"ENSG00000187583",70.938,-0.382,0.112,-3.401,0.001,0.004,"1","+",901876,910488,"PLEKHN1","pleckstrin homology domain containing N1 [Source:HGNC Symbol;Acc:HGNC:25284]","1:901876-910488"
"ENSG00000272512",15.358,-0.737,0.19,-3.885,0,0.001,"1","-",931345,933431,"RP11-54O7.17","","1:931345-933431"
"ENSG00000188290",269.775,-0.32,0.121,-2.643,0.008,0.035,"1","-",934341,935552,"HES4","hes family bHLH transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:24149]","1:934341-935552"
"ENSG00000187608",19.052,-0.599,0.173,-3.468,0.001,0.003,"1","+",948802,949920,"ISG15","ISG15 ubiquitin-like modifier [Source:HGNC Symbol;Acc:HGNC:4053]","1:948802-949920"
"ENSG00000217801",51.504,-0.714,0.114,-6.284,0,0,"1","+",995113,1001836,"RP11-465B22.3","","1:995113-1001836"
"ENSG00000273443",5.069,-0.798,0.242,-3.295,0.001,0.005,"1","-",997587,998668,"RP11-54O7.18","","1:997587-998668"
"ENSG00000237330",42.237,-1.074,0.116,-9.272,0,0,"1","-",1006345,1009687,"RNF223","ring finger protein 223 [Source:HGNC Symbol;Acc:HGNC:40020]","1:1006345-1009687"
"ENSG00000169972",245.398,0.283,0.08,3.526,0,0.003,"1","+",1243946,1247057,"PUSL1","pseudouridylate synthase-like 1 [Source:HGNC Symbol;Acc:HGNC:26914]","1:1243946-1247057"
"ENSG00000127054",1273.444,0.152,0.052,2.944,0.003,0.016,"1","-",1246964,1250813,"CPSF3L","cleavage and polyadenylation specific factor 3-like [Source:HGNC Symbol;Acc:HGNC:26052]","1:1246964-1250813"
"ENSG00000240731",49.348,0.363,0.117,3.096,0.002,0.01,"1","-",1252960,1254069,"RP5-890O3.9","","1:1252960-1254069"
"ENSG00000224051",388.857,-0.317,0.076,-4.141,0,0,"1","+",1260135,1263374,"CPTP","ceramide-1-phosphate transfer protein [Source:HGNC Symbol;Acc:HGNC:28116]","1:1260135-1263374"
"ENSG00000169962",23.092,-0.404,0.154,-2.616,0.009,0.037,"1","+",1266693,1270686,"TAS1R3","taste 1 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:15661]","1:1266693-1270686"
"ENSG00000107404",693.472,-0.17,0.049,-3.436,0.001,0.003,"1","-",1270655,1284492,"DVL1","dishevelled segment polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:3084]","1:1270655-1284492"
"ENSG00000162576",922.06,-0.298,0.061,-4.899,0,0,"1","-",1288068,1289644,"MXRA8","matrix-remodelling associated 8 [Source:HGNC Symbol;Acc:HGNC:7542]","1:1288068-1289644"
"ENSG00000225285",16.262,-0.466,0.174,-2.68,0.007,0.032,"1","-",1365918,1369953,"RP4-758J18.10","","1:1365918-1369953"
"ENSG00000179403",1042.999,-0.201,0.071,-2.84,0.005,0.021,"1","+",1370240,1372839,"VWA1","von Willebrand factor A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30910]","1:1370240-1372839"
"ENSG00000272106",49.437,-0.316,0.114,-2.771,0.006,0.025,"1","-",1549137,1551175,"RP11-345P4.9","","1:1549137-1551175"
"ENSG00000197530",395.732,-0.196,0.071,-2.76,0.006,0.026,"1","+",1550794,1565985,"MIB2","mindbomb E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:30577]","1:1550794-1565985"
"ENSG00000272004",171.348,0.569,0.088,6.485,0,0,"1","+",1590785,1594063,"RP11-345P4.10","","1:1590785-1594063"
"ENSG00000189339",2075.506,0.741,0.047,15.619,0,0,"1","-",1592938,1624083,"SLC35E2B","solute carrier family 35 member E2B [Source:HGNC Symbol;Acc:HGNC:33941]","1:1592938-1624083"
"ENSG00000269737",22.237,0.715,0.172,4.148,0,0,"1","+",1603428,1604850,"RP11-345P4.7","","1:1603428-1604850"
"ENSG00000269227",5.859,0.667,0.243,2.747,0.006,0.027,"1","+",1604713,1605836,"RP11-345P4.6","","1:1604713-1605836"
"ENSG00000227775",236.637,0.62,0.071,8.744,0,0,"1","+",1655950,1667412,"RP1-283E3.4","","1:1655950-1667412"
"ENSG00000215790",157.655,0.535,0.106,5.065,0,0,"1","-",1656276,1677358,"SLC35E2","solute carrier family 35 member E2 [Source:HGNC Symbol;Acc:HGNC:20863]","1:1656276-1677358"
"ENSG00000078369",3257.65,0.082,0.031,2.655,0.008,0.034,"1","-",1716728,1822495,"GNB1","guanine nucleotide binding protein (G protein), beta polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:4396]","1:1716728-1822495"
"ENSG00000067606",357.329,-0.296,0.054,-5.493,0,0,"1","+",1981908,2116834,"PRKCZ","protein kinase C, zeta [Source:HGNC Symbol;Acc:HGNC:9412]","1:1981908-2116834"
"ENSG00000182873",42.692,-0.346,0.133,-2.6,0.009,0.039,"1","-",2113232,2115314,"RP11-181G12.2","","1:2113232-2115314"
"ENSG00000269554",53.293,-0.34,0.122,-2.798,0.005,0.023,"1","+",2121236,2123179,NA,NA,"1:2121236-2123179"
"ENSG00000157873",87.39,-0.492,0.089,-5.504,0,0,"1","+",2487077,2492153,"TNFRSF14","tumor necrosis factor receptor superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11912]","1:2487077-2492153"
"ENSG00000142611",4.955,-0.68,0.248,-2.741,0.006,0.027,"1","+",2985731,3350906,"PRDM16","PR domain containing 16 [Source:HGNC Symbol;Acc:HGNC:14000]","1:2985731-3350906"
"ENSG00000130762",332.238,-0.379,0.063,-6.014,0,0,"1","+",3370989,3397677,"ARHGEF16","Rho guanine nucleotide exchange factor 16 [Source:HGNC Symbol;Acc:HGNC:15515]","1:3370989-3397677"
"ENSG00000078900",180.808,-1.024,0.065,-15.819,0,0,"1","+",3569083,3652765,"TP73","tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003]","1:3569083-3652765"
"ENSG00000235169",16.72,-0.704,0.177,-3.97,0,0.001,"1","+",3689351,3692546,"SMIM1","small integral membrane protein 1 (Vel blood group) [Source:HGNC Symbol;Acc:HGNC:44204]","1:3689351-3692546"
"ENSG00000158292",211.461,0.541,0.077,6.982,0,0,"1","-",6307405,6321035,"GPR153","G protein-coupled receptor 153 [Source:HGNC Symbol;Acc:HGNC:23618]","1:6307405-6321035"
"ENSG00000069812",135.138,1.679,0.094,17.941,0,0,"1","-",6472477,6484730,"HES2","hes family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:16005]","1:6472477-6484730"
"ENSG00000187017",917.101,0.612,0.08,7.681,0,0,"1","+",6484847,6521004,"ESPN","espin [Source:HGNC Symbol;Acc:HGNC:13281]","1:6484847-6521004"
"ENSG00000231868",24.852,0.677,0.17,3.995,0,0,"1","-",6503093,6507066,"RP1-202O8.2","","1:6503093-6507066"
"ENSG00000215788",135.232,-0.284,0.104,-2.713,0.007,0.029,"1","-",6521210,6523682,"TNFRSF25","tumor necrosis factor receptor superfamily member 25 [Source:HGNC Symbol;Acc:HGNC:11910]","1:6521210-6523682"
"ENSG00000171680",228.644,-0.387,0.063,-6.155,0,0,"1","-",6526151,6537648,"PLEKHG5","pleckstrin homology and RhoGEF domain containing G5 [Source:HGNC Symbol;Acc:HGNC:29105]","1:6526151-6537648"
"ENSG00000116273",378.153,-0.133,0.05,-2.672,0.008,0.032,"1","+",6673744,6684093,"PHF13","PHD finger protein 13 [Source:HGNC Symbol;Acc:HGNC:22983]","1:6673744-6684093"
"ENSG00000171735",194.445,0.311,0.074,4.209,0,0,"1","+",6845383,7829766,"CAMTA1","calmodulin binding transcription activator 1 [Source:HGNC Symbol;Acc:HGNC:18806]","1:6845383-7829766"
"ENSG00000049245",816.216,0.162,0.038,4.219,0,0,"1","+",7831328,7841492,"VAMP3","vesicle associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:12644]","1:7831328-7841492"
"ENSG00000049247",34.961,-0.376,0.137,-2.746,0.006,0.027,"1","-",7903142,7913572,"UTS2","urotensin 2 [Source:HGNC Symbol;Acc:HGNC:12636]","1:7903142-7913572"
"ENSG00000116285",812.326,1.895,0.082,23.078,0,0,"1","-",8064463,8086343,"ERRFI1","ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]","1:8064463-8086343"
"ENSG00000162426",5.813,0.767,0.25,3.071,0.002,0.011,"1","+",8377885,8404225,"SLC45A1","solute carrier family 45 member 1 [Source:HGNC Symbol;Acc:HGNC:17939]","1:8377885-8404225"
"ENSG00000142599",1367.952,1.244,0.042,29.944,0,0,"1","-",8412456,8877524,"RERE","arginine-glutamic acid dipeptide (RE) repeats [Source:HGNC Symbol;Acc:HGNC:9965]","1:8412456-8877524"
"ENSG00000049239",687.387,0.247,0.044,5.665,0,0,"1","+",9294833,9331396,"H6PD","hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase) [Source:HGNC Symbol;Acc:HGNC:4795]","1:9294833-9331396"
"ENSG00000171621",148.886,2.545,0.098,26.031,0,0,"1","+",9352938,9429591,"SPSB1","splA/ryanodine receptor domain and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:30628]","1:9352938-9429591"
"ENSG00000171612",234.44,0.487,0.069,7.067,0,0,"1","+",9599540,9645237,"SLC25A33","solute carrier family 25 (pyrimidine nucleotide carrier), member 33 [Source:HGNC Symbol;Acc:HGNC:29681]","1:9599540-9645237"
"ENSG00000188807",208.667,0.242,0.072,3.375,0.001,0.004,"1","+",9648931,9674935,"TMEM201","transmembrane protein 201 [Source:HGNC Symbol;Acc:HGNC:33719]","1:9648931-9674935"
"ENSG00000171608",133.339,1.476,0.091,16.169,0,0,"1","+",9711789,9789172,"PIK3CD","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]","1:9711789-9789172"
"ENSG00000171603",1628.211,-0.11,0.031,-3.542,0,0.002,"1","-",9789083,9884584,"CLSTN1","calsyntenin 1 [Source:HGNC Symbol;Acc:HGNC:17447]","1:9789083-9884584"
"ENSG00000178585",477.543,0.171,0.056,3.041,0.002,0.012,"1","-",9908333,9970321,"CTNNBIP1","catenin beta interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16913]","1:9908333-9970321"
"ENSG00000160049",585.862,0.19,0.042,4.463,0,0,"1","-",10516578,10532583,"DFFA","DNA fragmentation factor, 45kDa, alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:2772]","1:10516578-10532583"
"ENSG00000130940",814.821,0.809,0.051,15.99,0,0,"1","-",10696660,10856705,"CASZ1","castor zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:26002]","1:10696660-10856705"
"ENSG00000272078",273.077,0.827,0.065,12.633,0,0,"1","+",10699297,10714390,"RP4-734G22.3","","1:10699297-10714390"
"ENSG00000120948",2008.012,0.192,0.039,4.931,0,0,"1","+",11072413,11080546,"TARDBP","TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571]","1:11072413-11080546"
"ENSG00000271895",22.833,-0.429,0.156,-2.758,0.006,0.026,"1","+",11089715,11090585,"RP4-635E18.8","","1:11089715-11090585"
"ENSG00000116649",776.864,0.48,0.071,6.768,0,0,"1","-",11114640,11115261,"SRM","spermidine synthase [Source:HGNC Symbol;Acc:HGNC:11296]","1:11114640-11115261"
"ENSG00000171824",840.255,0.095,0.038,2.513,0.012,0.048,"1","-",11126674,11159926,"EXOSC10","exosome component 10 [Source:HGNC Symbol;Acc:HGNC:9138]","1:11126674-11159926"
"ENSG00000132879",242.204,-0.338,0.068,-4.934,0,0,"1","+",11714431,11722346,"FBXO44","F-box protein 44 [Source:HGNC Symbol;Acc:HGNC:24847]","1:11714431-11722346"
"ENSG00000215910",61.312,-0.377,0.1,-3.769,0,0.001,"1","+",11821843,11849641,"C1orf167","chromosome 1 open reading frame 167 [Source:HGNC Symbol;Acc:HGNC:25262]","1:11821843-11849641"
"ENSG00000177000",303.127,-0.364,0.058,-6.308,0,0,"1","-",11845779,11863302,"MTHFR","methylenetetrahydrofolate reductase (NAD(P)H) [Source:HGNC Symbol;Acc:HGNC:7436]","1:11845779-11863302"
"ENSG00000242349",14.23,-0.503,0.19,-2.653,0.008,0.034,"1","+",11901073,11907741,"NPPA-AS1","NPPA antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:37635]","1:11901073-11907741"
"ENSG00000048707",748.818,0.218,0.061,3.593,0,0.002,"1","+",12290123,12572099,"VPS13D","vacuolar protein sorting 13 homolog D (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:23595]","1:12290123-12572099"
"ENSG00000162496",62.781,0.69,0.109,6.344,0,0,"1","-",12627938,12677737,"DHRS3","dehydrogenase/reductase (SDR family) member 3 [Source:HGNC Symbol;Acc:HGNC:17693]","1:12627938-12677737"
"ENSG00000116731",662.148,0.976,0.081,12.064,0,0,"1","+",14026692,14075958,"PRDM2","PR domain containing 2, with ZNF domain [Source:HGNC Symbol;Acc:HGNC:9347]","1:14026692-14075958"
"ENSG00000142634",207.227,-0.231,0.074,-3.129,0.002,0.009,"1","+",15736390,15756839,"EFHD2","EF-hand domain family member D2 [Source:HGNC Symbol;Acc:HGNC:28670]","1:15736390-15756839"
"ENSG00000132906",68.726,-0.281,0.096,-2.939,0.003,0.016,"1","-",15817326,15850940,"CASP9","caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511]","1:15817326-15850940"
"ENSG00000197312",508.545,0.273,0.067,4.087,0,0,"1","+",15943994,15995539,"DDI2","DNA damage inducible 1 homolog 2 [Source:HGNC Symbol;Acc:HGNC:24578]","1:15943994-15995539"
"ENSG00000116786",466.141,-0.154,0.049,-3.108,0.002,0.01,"1","+",16010826,16061264,"PLEKHM2","pleckstrin homology and RUN domain containing M2 [Source:HGNC Symbol;Acc:HGNC:29131]","1:16010826-16061264"
"ENSG00000162458",269.323,-0.167,0.059,-2.84,0.005,0.021,"1","+",16083101,16091568,"FBLIM1","filamin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:24686]","1:16083101-16091568"
"ENSG00000179743",47.167,-0.427,0.113,-3.789,0,0.001,"1","-",16160559,16162355,"FLJ37453","uncharacterized LOC729614 [Source:EntrezGene;Acc:729614]","1:16160559-16162355"
"ENSG00000183888",31.12,-0.815,0.143,-5.718,0,0,"1","+",16330730,16335302,"C1orf64","chromosome 1 open reading frame 64 [Source:HGNC Symbol;Acc:HGNC:28339]","1:16330730-16335302"
"ENSG00000233078",9.504,-0.671,0.22,-3.044,0.002,0.012,"1","-",16332654,16333166,"RP11-5P18.5","","1:16332654-16333166"
"ENSG00000142627",61.633,0.667,0.123,5.421,0,0,"1","-",16450831,16482582,"EPHA2","EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]","1:16450831-16482582"
"ENSG00000234166",22.167,-0.482,0.17,-2.831,0.005,0.021,"1","+",16524348,16524852,"ARHGEF19-AS1","ARHGEF19 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39996]","1:16524348-16524852"
"ENSG00000142632",442.631,-0.6,0.052,-11.523,0,0,"1","-",16524348,16533506,"ARHGEF19","Rho guanine nucleotide exchange factor 19 [Source:HGNC Symbol;Acc:HGNC:26604]","1:16524348-16533506"
