"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","chrom","strand","left","right","symbol","name","location"
"ENSG00000238009",20.49,0.589,0.161,3.67,0,0.001,"1","-",89294,120932,"RP11-34P13.7","","1:89294-120932"
"ENSG00000228794",66.503,-0.401,0.101,-3.987,0,0,"1","+",762987,794826,"LINC01128","long intergenic non-protein coding RNA 1128 [Source:HGNC Symbol;Acc:HGNC:49377]","1:762987-794826"
"ENSG00000223764",314.785,-0.339,0.065,-5.24,0,0,"1","-",852244,856396,"RP11-54O7.3","","1:852244-856396"
"ENSG00000187634",244.478,-0.48,0.084,-5.677,0,0,"1","+",860259,874671,"SAMD11","sterile alpha motif domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28706]","1:860259-874671"
"ENSG00000268179",19.225,-0.818,0.171,-4.784,0,0,"1","-",861263,866445,NA,NA,"1:861263-866445"
"ENSG00000187961",203.077,-0.393,0.089,-4.425,0,0,"1","+",895966,901095,"KLHL17","kelch like family member 17 [Source:HGNC Symbol;Acc:HGNC:24023]","1:895966-901095"
"ENSG00000187583",70.938,-0.346,0.112,-3.076,0.002,0.01,"1","+",901876,910488,"PLEKHN1","pleckstrin homology domain containing N1 [Source:HGNC Symbol;Acc:HGNC:25284]","1:901876-910488"
"ENSG00000187642",23.752,-0.456,0.157,-2.898,0.004,0.017,"1","-",910578,917497,"PERM1","PPARGC1 and ESRR induced regulator, muscle 1 [Source:HGNC Symbol;Acc:HGNC:28208]","1:910578-917497"
"ENSG00000272512",15.358,-0.969,0.195,-4.973,0,0,"1","-",931345,933431,"RP11-54O7.17","","1:931345-933431"
"ENSG00000187608",19.052,-0.604,0.174,-3.474,0.001,0.003,"1","+",948802,949920,"ISG15","ISG15 ubiquitin-like modifier [Source:HGNC Symbol;Acc:HGNC:4053]","1:948802-949920"
"ENSG00000188157",8757.414,-0.167,0.067,-2.508,0.012,0.048,"1","+",955502,991496,"AGRN","agrin [Source:HGNC Symbol;Acc:HGNC:329]","1:955502-991496"
"ENSG00000217801",51.504,-0.619,0.113,-5.475,0,0,"1","+",995113,1001836,"RP11-465B22.3","","1:995113-1001836"
"ENSG00000273443",5.069,-0.912,0.245,-3.726,0,0.001,"1","-",997587,998668,"RP11-54O7.18","","1:997587-998668"
"ENSG00000237330",42.237,-1.499,0.126,-11.936,0,0,"1","-",1006345,1009687,"RNF223","ring finger protein 223 [Source:HGNC Symbol;Acc:HGNC:40020]","1:1006345-1009687"
"ENSG00000169972",245.398,0.335,0.08,4.178,0,0,"1","+",1243946,1247057,"PUSL1","pseudouridylate synthase-like 1 [Source:HGNC Symbol;Acc:HGNC:26914]","1:1243946-1247057"
"ENSG00000127054",1273.444,0.219,0.052,4.248,0,0,"1","-",1246964,1250813,"CPSF3L","cleavage and polyadenylation specific factor 3-like [Source:HGNC Symbol;Acc:HGNC:26052]","1:1246964-1250813"
"ENSG00000240731",49.348,0.474,0.117,4.067,0,0,"1","-",1252960,1254069,"RP5-890O3.9","","1:1252960-1254069"
"ENSG00000224051",388.857,-0.381,0.077,-4.963,0,0,"1","+",1260135,1263374,"CPTP","ceramide-1-phosphate transfer protein [Source:HGNC Symbol;Acc:HGNC:28116]","1:1260135-1263374"
"ENSG00000169962",23.092,-0.429,0.156,-2.751,0.006,0.026,"1","+",1266693,1270686,"TAS1R3","taste 1 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:15661]","1:1266693-1270686"
"ENSG00000162576",922.06,-0.271,0.061,-4.454,0,0,"1","-",1288068,1289644,"MXRA8","matrix-remodelling associated 8 [Source:HGNC Symbol;Acc:HGNC:7542]","1:1288068-1289644"
"ENSG00000225285",16.262,-0.595,0.177,-3.355,0.001,0.004,"1","-",1365918,1369953,"RP4-758J18.10","","1:1365918-1369953"
"ENSG00000179403",1042.999,-0.203,0.071,-2.865,0.004,0.019,"1","+",1370240,1372839,"VWA1","von Willebrand factor A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30910]","1:1370240-1372839"
"ENSG00000248333",560.869,0.148,0.053,2.785,0.005,0.023,"1","-",1570602,1580623,"CDK11B","cyclin-dependent kinase 11B [Source:HGNC Symbol;Acc:HGNC:1729]","1:1570602-1580623"
"ENSG00000272004",171.348,0.774,0.087,8.9,0,0,"1","+",1590785,1594063,"RP11-345P4.10","","1:1590785-1594063"
"ENSG00000189339",2075.506,0.779,0.047,16.41,0,0,"1","-",1592938,1624083,"SLC35E2B","solute carrier family 35 member E2B [Source:HGNC Symbol;Acc:HGNC:33941]","1:1592938-1624083"
"ENSG00000269737",22.237,0.862,0.171,5.036,0,0,"1","+",1603428,1604850,"RP11-345P4.7","","1:1603428-1604850"
"ENSG00000227775",236.637,0.62,0.071,8.709,0,0,"1","+",1655950,1667412,"RP1-283E3.4","","1:1655950-1667412"
"ENSG00000215790",157.655,0.357,0.107,3.353,0.001,0.004,"1","-",1656276,1677358,"SLC35E2","solute carrier family 35 member E2 [Source:HGNC Symbol;Acc:HGNC:20863]","1:1656276-1677358"
"ENSG00000078369",3257.65,0.089,0.031,2.891,0.004,0.017,"1","-",1716728,1822495,"GNB1","guanine nucleotide binding protein (G protein), beta polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:4396]","1:1716728-1822495"
"ENSG00000178821",16.19,-0.463,0.179,-2.586,0.01,0.039,"1","-",1849028,1850236,"TMEM52","transmembrane protein 52 [Source:HGNC Symbol;Acc:HGNC:27916]","1:1849028-1850236"
"ENSG00000067606",357.329,-0.316,0.054,-5.82,0,0,"1","+",1981908,2116834,"PRKCZ","protein kinase C, zeta [Source:HGNC Symbol;Acc:HGNC:9412]","1:1981908-2116834"
"ENSG00000182873",42.692,-0.414,0.134,-3.079,0.002,0.01,"1","-",2113232,2115314,"RP11-181G12.2","","1:2113232-2115314"
"ENSG00000157933",487.474,0.153,0.054,2.858,0.004,0.019,"1","+",2160133,2241558,"SKI","SKI proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10896]","1:2160133-2241558"
"ENSG00000157873",87.39,-0.46,0.09,-5.129,0,0,"1","+",2487077,2492153,"TNFRSF14","tumor necrosis factor receptor superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11912]","1:2487077-2492153"
"ENSG00000157870",267.824,-0.149,0.056,-2.647,0.008,0.034,"1","+",2517929,2521071,"FAM213B","family with sequence similarity 213 member B [Source:HGNC Symbol;Acc:HGNC:28390]","1:2517929-2521071"
"ENSG00000130762",332.238,-0.313,0.063,-4.976,0,0,"1","+",3370989,3397677,"ARHGEF16","Rho guanine nucleotide exchange factor 16 [Source:HGNC Symbol;Acc:HGNC:15515]","1:3370989-3397677"
"ENSG00000162591",271.198,-0.206,0.08,-2.58,0.01,0.04,"1","-",3406483,3448012,"MEGF6","multiple EGF-like-domains 6 [Source:HGNC Symbol;Acc:HGNC:3232]","1:3406483-3448012"
"ENSG00000158109",542.58,-0.106,0.042,-2.537,0.011,0.044,"1","+",3541565,3546691,"TPRG1L","tumor protein p63 regulated 1-like [Source:HGNC Symbol;Acc:HGNC:27007]","1:3541565-3546691"
"ENSG00000078900",180.808,-1.102,0.066,-16.71,0,0,"1","+",3569083,3652765,"TP73","tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003]","1:3569083-3652765"
"ENSG00000235169",16.72,-0.899,0.182,-4.934,0,0,"1","+",3689351,3692546,"SMIM1","small integral membrane protein 1 (Vel blood group) [Source:HGNC Symbol;Acc:HGNC:44204]","1:3689351-3692546"
"ENSG00000069424",105.887,-0.278,0.09,-3.083,0.002,0.01,"1","+",6051525,6160235,"KCNAB2","potassium channel, voltage gated subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229]","1:6051525-6160235"
"ENSG00000158292",211.461,0.702,0.077,9.126,0,0,"1","-",6307405,6321035,"GPR153","G protein-coupled receptor 153 [Source:HGNC Symbol;Acc:HGNC:23618]","1:6307405-6321035"
