"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","chrom","strand","left","right","symbol","name","location"
"ENSG00000069812",135.138,0.3,0.074,4.068,0,0.018,"1","-",6472477,6484730,"HES2","hes family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:16005]","1:6472477-6484730"
"ENSG00000175707",274.177,0.303,0.063,4.774,0,0.001,"1","-",27276052,27286897,"KDF1","keratinocyte differentiation factor 1 [Source:HGNC Symbol;Acc:HGNC:26624]","1:27276052-27286897"
"ENSG00000116717",85.876,0.328,0.083,3.954,0,0.025,"1","+",68150743,68154021,"GADD45A","growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]","1:68150743-68154021"
"ENSG00000163399",9008.034,0.141,0.037,3.777,0,0.045,"1","+",116915289,116930777,"ATP1A1","ATPase, Na+/K+ transporting, alpha 1 polypeptide [Source:HGNC Symbol;Acc:HGNC:799]","1:116915289-116930777"
"ENSG00000203865",1361.394,0.165,0.033,5.034,0,0,"1","-",116934868,116961244,"ATP1A1-AS1","ATP1A1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:28262]","1:116934868-116961244"
"ENSG00000183508",70.748,-0.511,0.104,-4.934,0,0.001,"1","+",118148555,118170994,"FAM46C","family with sequence similarity 46 member C [Source:HGNC Symbol;Acc:HGNC:24712]","1:118148555-118170994"
"ENSG00000162889",2018.625,0.135,0.032,4.221,0,0.011,"1","+",206858288,206906208,"MAPKAPK2","mitogen-activated protein kinase-activated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:6887]","1:206858288-206906208"
"ENSG00000135801",968.96,0.29,0.051,5.654,0,0,"1","-",229728857,229750229,"TAF5L","TATA-box binding protein associated factor 5 like [Source:HGNC Symbol;Acc:HGNC:17304]","1:229728857-229750229"
"ENSG00000135763",762.5,0.326,0.061,5.382,0,0,"1","+",229761980,229795946,"URB2","URB2 ribosome biogenesis 2 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:28967]","1:229761980-229795946"
"ENSG00000134317",707.239,0.227,0.058,3.94,0,0.026,"2","+",10085340,10142411,"GRHL1","grainyhead-like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:17923]","2:10085340-10142411"
"ENSG00000143878",4876.999,0.202,0.039,5.136,0,0,"2","+",20646834,20649200,"RHOB","ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]","2:20646834-20649200"
"ENSG00000152518",1612.395,-0.303,0.05,-6.074,0,0,"2","-",43449540,43453748,"ZFP36L2","ZFP36 ring finger protein-like 2 [Source:HGNC Symbol;Acc:HGNC:1108]","2:43449540-43453748"
"ENSG00000153094",129.681,0.288,0.073,3.938,0,0.026,"2","+",111876954,111881689,"BCL2L11","BCL2-like 11 (apoptosis facilitator) [Source:HGNC Symbol;Acc:HGNC:994]","2:111876954-111881689"
"ENSG00000144355",621.366,0.336,0.052,6.504,0,0,"2","+",172949467,172951582,"DLX1","distal-less homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2914]","2:172949467-172951582"
"ENSG00000138449",2129.554,-0.326,0.077,-4.236,0,0.011,"2","-",190425304,190445613,"SLC40A1","solute carrier family 40 (iron-regulated transporter), member 1 [Source:HGNC Symbol;Acc:HGNC:10909]","2:190425304-190445613"
"ENSG00000134107",737.09,-0.187,0.049,-3.846,0,0.036,"3","+",5020800,5027008,"BHLHE40","basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]","3:5020800-5027008"
"ENSG00000144677",1071.662,0.203,0.039,5.178,0,0,"3","+",37903450,38025960,"CTDSPL","CTD small phosphatase like [Source:HGNC Symbol;Acc:HGNC:16890]","3:37903450-38025960"
"ENSG00000163659",605.322,0.394,0.074,5.314,0,0,"3","+",156391023,156422928,"TIPARP","TCDD-inducible poly(ADP-ribose) polymerase [Source:HGNC Symbol;Acc:HGNC:23696]","3:156391023-156422928"
"ENSG00000168884",468.427,0.247,0.054,4.604,0,0.002,"4","-",2743374,2758058,"TNIP2","TNFAIP3 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:19118]","4:2743374-2758058"
"ENSG00000170846",857.373,0.188,0.047,3.985,0,0.023,"4","+",6675177,6677774,"AC093323.3","","4:6675177-6677774"
"ENSG00000163993",217.36,0.335,0.083,4.027,0,0.02,"4","+",6694795,6698896,"S100P","S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]","4:6694795-6698896"
"ENSG00000173013",118.803,0.343,0.071,4.833,0,0.001,"4","-",7042578,7044728,"CCDC96","coiled-coil domain containing 96 [Source:HGNC Symbol;Acc:HGNC:26900]","4:7042578-7044728"
"ENSG00000109519",661.861,0.224,0.04,5.647,0,0,"4","-",7060632,7069924,"GRPEL1","GrpE-like 1, mitochondrial (E. coli) [Source:HGNC Symbol;Acc:HGNC:19696]","4:7060632-7069924"
"ENSG00000272717",72.701,0.49,0.097,5.046,0,0,"4","+",140477952,140478797,"RP11-342I1.2","","4:140477952-140478797"
"ENSG00000145632",735.651,-0.179,0.046,-3.932,0,0.026,"5","-",57749808,57756087,"PLK2","polo-like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19699]","5:57749808-57756087"
"ENSG00000118985",601.467,0.38,0.064,5.963,0,0,"5","-",95220801,95297775,"ELL2","elongation factor, RNA polymerase II, 2 [Source:HGNC Symbol;Acc:HGNC:17064]","5:95220801-95297775"
